MassFeature_Column,1314_A,1314_B,1314_C,1314P_A,1314P_B,1314P_C,1545_A,1545_B,1545_C,1771_A,1771_B,1771_C,2021_A,2021_B,2021_C,2090_A,2090_B,2090_C,3430_A,3430_B,3430_C,371_A,371_B,371_C,449_A,449_B,449_C,7803_B,7803_F,8102_A,8102_F,8501_B,8501_C,8501_D,As9601_A,As9601_B,As9601_C,Cy_A,Cy_B,Cy_C,MED4_D,MED4_E,MED4_F,Nat_A,Nat_B,Nat_C,Nmar_1,Nmar_2,Nmar_3,Np_A,Np_C,Np_F,Pc55x_A,Pc55x_B,Pc55x_C,Pt_C,Pt_F,To_A,To_B,To_C,Tp_A,Tp_E,Tp_F
Asparagine_X_HILICPos,7.263112027305869,7.2062665966770565,7.1266963034138,7.491500271197462,7.434948049738395,7.420652520075177,7.373653337745927,7.343602212090391,7.365189694469519,6.246389544708297,6.346359770188686,6.631590417153291,6.424712220393261,6.237749598503025,6.410342835704694,7.403481235351006,7.6795142502783715,7.465013101546539,7.892523121288783,7.921443211991873,7.912307913060308,7.005288006818083,6.994159058622906,6.968071692856477,6.2803438346168035,6.2229931699881815,6.164388783436421,6.694873611081674,6.903444979490326,5.487146367720065,5.467603126407309,5.612919756572683,5.695276470687825,5.683775911400622,7.253819433329174,7.20839430964139,7.197801471853483,6.979755284709445,7.430968574019732,7.1926556859125705,7.183779249115009,7.472548772383852,7.36398528996407,8.43126377598566,8.519284763611001,8.490025676044889,0,0,0,7.57190272259935,7.547436481201437,7.447592872137725,6.235329787748028,6.234214509036878,6.2608965814493756,6.76461455357493,6.78143183154297,7.057957380821599,6.881048448522029,6.910862805566185,7.303938602272547,7.265189113881918,6.9480497400820305
Aspartic acid_X_HILICPos,7.259471086400447,7.252156706492884,7.2204318403589465,8.396756921331459,8.324567134863727,8.399086835650332,7.059959990625391,7.0893005621292495,7.112872725761695,6.775136402591458,6.8312806410243425,7.122072308640068,7.214158549878842,7.059553773953543,6.9120021427935034,6.472270929540629,6.927218438455456,6.427186797280546,8.072378983308845,8.093901502370574,8.03996096802922,6.459817950524243,6.522087457320853,6.4347038252553475,6.841907661787961,6.833554361322499,6.735938348055774,7.273001398133456,7.510237398338837,7.886942215301465,7.746990849712645,5.970964370650896,5.846322968142694,5.811951834301111,8.276499871559487,8.243237841865579,8.256511926145654,6.82072761077337,7.180773123410237,6.935534970263787,7.927300426118671,8.05204195289698,8.111221849425945,9.349885860963486,9.453193950755228,9.437162956781032,8.948292596984214,8.991142090991065,9.012999398117989,7.414324608677633,7.32939172705185,7.287920016483133,6.4143484628684835,6.35301103939909,6.450865325159673,6.549045233835243,6.611568991072376,6.703169953165255,6.452185282591081,6.5082547677395475,7.196584345892765,7.128189225536049,6.814024110676316
beta-Alanine_X_HILICPos,0,0,0,0,0,0,0,0,0,0,0,0,6.089898837174413,5.734848713418782,5.885103914308659,0,0,0,8.074899358395337,8.076777838553056,8.053256392031233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3754662593804445,6.739585055568882,6.545811957869473,0,0,0,0,0,0,0,0,0,0,0,0,6.805806830583762,6.8700891950132235,6.864512974865798,6.161704431535512,6.214427362713283,0,0,0,0,0,0
beta-Glutamic acid_X_HILICPos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.018132405526444,12.096132141221254,12.133085248967229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyryl-L-carnitine_X_HILICPos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.767799647009177,8.168226178700248,7.960803012551005,0,0,0,0,0,0,0,0,0,7.408272588386268,7.262985244274869,7.194603284660446,7.024834230633326,7.049310911013073,7.121227570584064,6.733471694581854,6.774473001077891,7.067563222994597,6.966783382059575,6.479631967721547,7.037272190912814,6.950131774671399,6.724266958924666
Carnitine_X_HILICPos,6.455980656500718,6.473241396069371,6.374896935750231,0,0,0,0,0,0,8.236959075300996,8.346049282036942,8.479989751450482,8.647552095576035,8.349329136890404,8.56109814144964,9.028543009707032,9.012200157849644,8.982023752888898,0,0,0,8.860769974319293,8.879456795553185,8.923584011142871,8.535907389977899,8.378689486590341,8.328090226556625,0,0,0,0,0,0,0,0,0,0,7.88874302306889,8.271311476046895,7.98288851676254,0,0,0,0,0,0,0,0,0,8.144665795389209,8.026195769126774,7.946383400264276,8.65178317271739,8.707599107704082,8.747165584089501,7.356133387873247,7.386540201964003,8.454549368259118,8.295156341265113,8.06084367588603,8.591352096462963,8.584565052473783,8.326759036230808
Citrulline_X_HILICPos,0,0,0,8.155432868174355,8.101151000546123,8.074588467476682,0,0,0,6.249032779647507,6.317269029817353,6.535061189181782,5.735699742775739,5.531851635796222,0,0,6.970515191225513,0,7.62419830017311,7.684486325807533,7.663908383175608,6.147348318043188,6.24590388870914,6.444386194683873,0,5.929340352472231,5.84751608888967,7.743545945690641,7.833856132124177,8.322629023043826,8.321263058152075,6.340094460162651,6.161858880386689,6.00073360773699,8.320479084670472,8.29301054343633,8.2806141251009,6.726220899789483,6.855796238381386,6.684162039249147,8.045246067941621,8.474023290380826,8.496912804548874,9.448941072308578,9.483253306276403,9.480303563300987,9.778404597738879,9.86640258910853,9.904546574426638,7.824438869252869,7.817342993967281,7.689715812497201,5.991095373680886,5.976585792613857,5.806276631984473,6.502866233368356,6.5258152243412,6.738838803167658,6.286806541229632,6.305972002491252,6.414881552556564,6.382407744635475,6.039987777751516
Creatine_X_HILICPos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277401673433046,0,0,0,0,0,0,0,0,0,0,0,6.723625250433558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cystathionine_X_HILICPos,6.2406869699950605,6.190946267508704,5.904341171155493,0,0,0,5.287578233602551,5.450953260559819,5.462360345050483,5.7207759885828136,5.790736247862322,6.015691982193018,5.948804444623552,5.823377775550625,5.761670655361039,0,0,0,0,0,0,0,0,0,5.933257693833864,5.735473534115365,5.575408494461065,0,0,0,0,0,0,0,0,0,0,6.378961054842819,6.769450268210242,6.610218910932176,0,0,0,6.327002544362524,6.392960752066198,6.355517500878137,0,0,0,0,0,0,0,0,0,5.2133158529083525,5.319911746964435,0,5.072321013692895,5.102249815086047,4.085290437180643,0,0
Cysteic Acid_X_HILICNeg,0,0,0,5.890558757076526,5.8306923398988735,5.8234235002573085,5.521502504054826,5.483254862416973,5.512543908978162,0,0,0,0,0,0,6.018769551289992,6.17663767392331,6.532268202348809,6.1690988809920935,5.560189088004248,5.965695275793413,6.284863086397363,6.14898416743382,6.1615178796790975,0,0,0,6.096080628221793,6.307903889269668,5.339619850833099,5.360906064722794,4.752871831020655,4.888822886952511,4.619215101816181,5.836321838323223,5.722301864423186,5.781121480390749,7.158136785372392,7.585493016735979,7.346018965417761,6.287670166670533,6.312410079019477,6.618526602629802,6.717511872968902,6.703933859283028,6.847113682377718,0,0,0,4.925127540971544,4.76997704356582,4.643815692220227,5.03500637596573,5.106929106327035,5.121038277538824,3.4142369293881765,3.6715793932476553,5.6995576288793055,5.5613169566184695,5.632292268935258,0,0,0
