MassFeature_Column,Identification,Confidence,mz,rt,Column,z,NPTZ depth profile cluster,NPSG depth profile cluster,Transect cluster,Culture cluster
I214.0484R11.68_HILICNeg_X_HILICNeg,sn-Glycero-3-phosphoethanolamine; sn-Glycero-3-phosphoethanolamine;,3,214.0484319,700.9751319,HILIC,-1,b,b,d,e
I217.93R10.87_HILICNeg_X_HILICNeg,NA,4,217.929975,652.2021629,HILIC,-1,d,a,a,f
I219.9271R10.87_HILICNeg_X_HILICNeg,NA,4,219.9270866,651.9006032,HILIC,-1,d,a,d,f
I221.022R10.39_HILICNeg_X_HILICNeg,NA,4,221.0220122,623.3766186,HILIC,-1,b,c,a,g
I225.1607R2.2_HILICNeg_X_HILICNeg,"1,8-Diazacyclotetradecane-2,9-dione 1,8-Diazacyclotetradecane-2,9-dione 1,8-Diazacyclotetradecane-2,9-dione",3,225.1606781,131.9582175,HILIC,-1,a,c,b,d
I229.1557R2_HILICNeg_X_HILICNeg,NA,4,229.1557499,120.144437,HILIC,-1,b,b,d,c
I232.0231R10.77_HILICNeg_X_HILICNeg,NA,4,232.0231044,646.4212236,HILIC,-1,NA,a,a,b
I239.002R2.89_HILICNeg_X_HILICNeg,"1,2-Dihydroxynaphthalene-6-sulfonate",3,239.0020288,173.2638476,HILIC,-1,f,c,g,NA
I241.0119R13.69_HILICNeg_X_HILICNeg,6-Deoxy-5-ketofructose 1-phosphate; 6-Deoxy-5-ketofructose 1-phosphate; 6-Deoxy-5-ketofructose 1-phosphate;,3,241.0119291,821.2617255,HILIC,-1,c,b,a,e
Thymidine_X_HILICNeg,Thymidine,1,241.082448,196.2,HILIC,-1,b,b,e,NA
Cytidine_X_HILICNeg,Cytidine,1,242.077697,513,HILIC,-1,b,b,a,f
Uridine_X_HILICNeg,Uridine,1,243.061713,361.2,HILIC,-1,b,b,d,c
I243.1715R1.84_HILICNeg_X_HILICNeg,N-(6-Aminohexanoyl)-6-aminohexanoate N-(6-Aminohexanoyl)-6-aminohexanoate N-(6-Aminohexanoyl)-6-aminohexanoate,3,243.1715204,110.5154884,HILIC,-1,b,b,d,c
I244.0495R6.68_HILICNeg_X_HILICNeg,NA,4,244.0494939,400.5819036,HILIC,-1,b,NA,c,NA
I244.0828R9.94_HILICNeg_X_HILICNeg,NA,4,244.0828365,596.4450335,HILIC,-1,c,c,b,f
I253.9168R1.77_HILICNeg_X_HILICNeg,NA,4,253.9167565,106.356246,HILIC,-1,NA,NA,g,NA
I261.9827R12.12_HILICNeg_X_HILICNeg,NA,4,261.9826976,727.39342,HILIC,-1,NA,d,a,NA
I267.0726R11.17_HILICNeg_X_HILICNeg,2-O-(alpha-D-Mannosyl)-D-glycerate;,3,267.0725633,670.4821969,HILIC,-1,NA,a,g,b
Inosine_X_HILICNeg,Inosine,1,267.072946,454.20000000000005,HILIC,-1,c,a,d,e
I275.9414R1.7_HILICNeg_X_HILICNeg,NA,4,275.9414441,102.0994851,HILIC,-1,NA,b,g,d
I276.9109R1.79_HILICNeg_X_HILICNeg,NA,4,276.9109069,107.1877033,HILIC,-1,NA,c,g,NA
I277.9097R1.79_HILICNeg_X_HILICNeg,NA,4,277.9097374,107.3293631,HILIC,-1,NA,c,g,NA
I292.0727R10.9_HILICNeg_X_HILICNeg,NA,4,292.0727303,653.7302589,HILIC,-1,b,b,a,e
I298.957R7.41_HILICNeg_X_HILICNeg,NA,4,298.9569597,444.8304242,HILIC,-1,NA,NA,a,d
I300.8705R4.81_HILICNeg_X_HILICNeg,NA,4,300.870537,288.4335608,HILIC,-1,NA,b,b,NA
I302.0009R7.07_HILICNeg_X_HILICNeg,NA,4,302.0008652,424.0783407,HILIC,-1,NA,NA,a,b
I304.079R2.8_HILICNeg_X_HILICNeg,NA,4,304.07895130000003,167.9387041,HILIC,-1,NA,a,e,b
I316.0457R12.61_HILICNeg_X_HILICNeg,NA,4,316.0457357,756.7242862,HILIC,-1,NA,a,a,d
I317.0553R12.1_HILICNeg_X_HILICNeg,Prekinamycin,3,317.0552535,725.7078449,HILIC,-1,b,b,c,a
I325.0188R11.15_HILICNeg_X_HILICNeg,NA,4,325.0188103,669.2491176,HILIC,-1,NA,a,g,d
I327.1204R10.42_HILICNeg_X_HILICNeg,NA,4,327.1203644,625.1518472,HILIC,-1,c,c,b,f
I329.0856R4.34_HILICNeg_X_HILICNeg,NA,4,329.0856293,260.1655719,HILIC,-1,NA,a,d,f
I331.1154R11.28_HILICNeg_X_HILICNeg,NA,4,331.1153856,676.8722483,HILIC,-1,c,c,b,f
I338.006R9.9_HILICNeg_X_HILICNeg,NA,4,338.0059928,593.9406375,HILIC,-1,NA,c,b,g
I340.0028R9.93_HILICNeg_X_HILICNeg,NA,4,340.00284,595.5132478,HILIC,-1,NA,c,b,g
Sucrose_X_HILICNeg,Sucrose,1,341.10839,715.8,HILIC,-1,e,a,a,b
Trehalose_X_HILICNeg,Trehalose,1,341.10839,780,HILIC,-1,g,b,b,d
I346.0564R12.06_HILICNeg_X_HILICNeg,AMP,1,346.0564275,723.6659792,HILIC,-1,b,a,a,a
I376.9346R7.43_HILICNeg_X_HILICNeg,NA,4,376.9345616,445.9692758,HILIC,-1,NA,NA,a,d
I379.083R11.37_HILICNeg_X_HILICNeg,Tetracenomycin F1 methylester,3,379.0830228,682.04504240000006,HILIC,-1,e,a,a,a
I386.0341R16.12_HILICNeg_X_HILICNeg,NA,4,386.0341495,967.2362856,HILIC,-1,c,a,a,a
I387.2256R2.2_HILICNeg_X_HILICNeg,NA,4,387.2255927,131.8390778,HILIC,-1,c,b,d,g
I401.241R2.14_HILICNeg_X_HILICNeg,NA,4,401.2410226,128.3798692,HILIC,-1,b,b,a,g
I414.1638R9.08_HILICNeg_X_HILICNeg,NA,4,414.1638193,545.0549765,HILIC,-1,NA,a,c,b
I429.1257R12.32_HILICNeg_X_HILICNeg,NA,4,429.1256607,738.9774037,HILIC,-1,NA,b,g,b
I479.7914R1.79_HILICNeg_X_HILICNeg,NA,4,479.7913702,107.6099593,HILIC,-1,g,c,g,d
I495.0783R2.22_HILICNeg_X_HILICNeg,NA,4,495.0783251,133.2875885,HILIC,-1,NA,c,g,NA
I533.0521R2.2_HILICNeg_X_HILICNeg,NA,4,533.052121,132.0131845,HILIC,-1,NA,c,g,NA
I606.0756R12.98_HILICNeg_X_HILICNeg,UDP-glucosamine,1,606.0756192,778.9529008,HILIC,-1,b,a,a,a
I620.9939R2.17_HILICNeg_X_HILICNeg,NA,4,620.9939013,130.1805811,HILIC,-1,g,b,g,NA
I622.9911R2.17_HILICNeg_X_HILICNeg,NA,4,622.9910523,130.1810401,HILIC,-1,NA,b,g,NA
NAD_X_HILICNeg,NAD,1,662.101304,636,HILIC,-1,NA,a,a,a
I84.045R12.12_HILICPos_X_HILICPos,NA,4,84.04502893,727.2183115,HILIC,1,a,a,a,a
I87.0446R10.14_HILICPos_X_HILICPos,Cyclopropanecarboxylate Diacetyl; Cyclopropanecarboxylate Diacetyl; Cyclopropanecarboxylate Diacetyl;,3,87.04464517,608.4668507,HILIC,1,c,b,c,f
Alanine_X_HILICPos,Alanine,1,90.055504,678,HILIC,1,a,a,a,c
beta-Alanine_X_HILICPos,beta-Alanine,1,90.055504,683.4000000000001,HILIC,1,a,a,a,e
Sarcosine_X_HILICPos,Sarcosine,1,90.055504,636,HILIC,1,b,a,a,b
I93.0578R5.36_HILICPos_X_HILICPos,NA,4,93.05775397,321.4714766,HILIC,1,b,a,a,e
I96.0449R5.35_HILICPos_X_HILICPos,NA,4,96.04490153,320.9561097,HILIC,1,a,a,a,d
I104.1074R10.68_HILICPos_X_HILICPos,Choline,1,104.1073724,641.0484594,HILIC,1,b,b,d,e
Serine_X_HILICPos,Serine,1,106.050419,711.5999999999999,HILIC,1,b,a,a,a
I107.0734R9.09_HILICPos_X_HILICPos,NA,4,107.0733634,545.6709823,HILIC,1,b,a,c,f
Hypotaurine_X_HILICPos,Hypotaurine,1,110.027576,681.5999999999999,HILIC,1,b,a,a,d
Cytosine_X_HILICPos,Cytosine,1,112.051087,444.6,HILIC,1,a,a,a,a
I116.0709R8.8_HILICPos_X_HILICPos,Proline,1,116.0709257,528.2851637,HILIC,1,a,a,a,a
I118.0864R7.19_HILICPos_X_HILICPos,Betaine,1,118.0863989,431.2936762,HILIC,1,a,a,a,c
Homoserine_X_HILICPos,Homoserine,1,120.066069,679.2,HILIC,1,c,a,a,a
Threonine_X_HILICPos,Threonine,1,120.066069,655.2,HILIC,1,b,a,d,a
I120.0811R5.29_HILICPos_X_HILICPos,NA,4,120.0810534,317.567317,HILIC,1,b,a,a,c
