MassFeature_Column,Identification,Confidence,mz,rt,Column,z,NPTZ depth profile cluster,NPSG depth profile cluster,Transect cluster,Culture cluster
I209.0478R11.07_HILICPos_X_HILICPos,2-(2'-Methylthio)ethylmalic acid; 3-(2'-Methylthio)ethylmalic acid;,3,209.0478401,664.2395782,HILIC,1,c,a,b,f
I209.0843R7.18_HILICPos_X_HILICPos,NA,4,209.0842635,430.7906915,HILIC,1,d,c,g,NA
I209.0844R8.07_HILICPos_X_HILICPos,NA,4,209.0843609,484.3683671,HILIC,1,b,a,g,NA
I211.0565R12.12_HILICPos_X_HILICPos,NA,4,211.0564697,727.2634504,HILIC,1,d,a,a,c
Propionyl-L-carnitine_X_HILICPos,Propionyl-L-carnitine,1,218.139234,337.8,HILIC,1,b,a,a,e
I219.1703R6.51_HILICPos_X_HILICPos,NA,4,219.1703313,390.4889715,HILIC,1,a,b,a,NA
I221.0843R5.26_HILICPos_X_HILICPos,NA,4,221.084251,315.8491613,HILIC,1,d,a,c,NA
I221.0843R5.58_HILICPos_X_HILICPos,NA,4,221.0842734,335.0619025,HILIC,1,g,a,c,g
I221.0843R8.12_HILICPos_X_HILICPos,NA,4,221.0842781,487.3496254,HILIC,1,c,b,c,g
Cystathionine_X_HILICPos,Cystathionine,1,223.075255,788.4000000000001,HILIC,1,b,b,a,f
I227.1754R2.2_HILICPos_X_HILICPos,"1,8-Diazacyclotetradecane-2,9-dione 1,8-Diazacyclotetradecane-2,9-dione 1,8-Diazacyclotetradecane-2,9-dione",3,227.1754177,131.8983339,HILIC,1,d,b,b,d
I228.0979R6.34_HILICPos_X_HILICPos,Deoxycytidine;,3,228.097854,380.1458074,HILIC,1,a,a,e,a
I232.118R6.16_HILICPos_X_HILICPos,NA,4,232.1180483,369.8111362,HILIC,1,g,c,a,d
Butyryl-L-carnitine_X_HILICPos,Butyryl-L-carnitine,1,232.154884,268.2,HILIC,1,b,a,a,e
I235.1653R7.18_HILICPos_X_HILICPos,NA,4,235.1652918,430.9363628,HILIC,1,b,b,a,c
I236.1492R9.91_HILICPos_X_HILICPos,NA,4,236.1492202,594.3484069,HILIC,1,c,c,a,d
I236.1493R8.23_HILICPos_X_HILICPos,NA,4,236.1492911,493.8084391,HILIC,1,b,b,a,d
I238.0524R11.67_HILICPos_X_HILICPos,NA,4,238.0523797,700.1635008,HILIC,1,d,a,a,g
I244.0929R7.89_HILICPos_X_HILICPos,Cytidine gamma-Glutamyl-beta-cyanoalanine,3,244.0929068,473.30573,HILIC,1,a,a,a,a
I249.1347R5.35_HILICPos_X_HILICPos,"""MLS000859932-01!8-Cyclopentyl-1,3-dimethylxanthine"" ID:CCMSLIB00000086044",2,249.1347153,320.8399961,HILIC,1,c,NA,a,NA
I252.083R12.11_HILICPos_X_HILICPos,NA,4,252.0830154,726.8016033,HILIC,1,d,a,a,c
I252.1092R3.46_HILICPos_X_HILICPos,Deoxyadenosine,1,252.1091636,207.5733001,HILIC,1,a,a,e,a
I252.1441R10.53_HILICPos_X_HILICPos,NA,4,252.1441108,631.9092477,HILIC,1,c,b,b,f
Glucosylglycerol_X_HILICPos,Glucosylglycerol,1,255.107995,606,HILIC,1,b,c,c,b
Glycerophosphocholine_X_HILICPos,Glycerophosphocholine,1,258.110652,651.5999999999999,HILIC,1,b,b,a,e
Adenosine_X_HILICPos,Adenosine,1,268.10458,267.6,HILIC,1,a,a,a,a
I271.1288R9.7_HILICPos_X_HILICPos,Bacilysin Bacilysin Bacilysin,3,271.1288395,581.9728044,HILIC,1,b,c,c,f
I284.0991R8.89_HILICPos_X_HILICPos,Guanosine,1,284.0990577,533.6457598,HILIC,1,a,a,d,a
I285.1445R8.18_HILICPos_X_HILICPos,NA,4,285.1445208,490.5048674,HILIC,1,c,c,b,NA
I285.1445R6.57_HILICPos_X_HILICPos,NA,4,285.1445459,394.4216053,HILIC,1,c,c,f,f
I288.1918R7.18_HILICPos_X_HILICPos,NA,4,288.1917714,430.7737312,HILIC,1,a,a,a,e
I289.1393R10.28_HILICPos_X_HILICPos,NA,4,289.1392912,616.5382127,HILIC,1,c,c,b,d
I291.0698R7.5_HILICPos_X_HILICPos,NA,4,291.0697956,449.9065008,HILIC,1,NA,a,d,g
Argininosuccinic Acid_X_HILICPos,Argininosuccinic Acid,1,291.13046,821.4,HILIC,1,c,b,c,a
I292.0629R12.12_HILICPos_X_HILICPos,NA,4,292.0629066,727.3293767,HILIC,1,d,a,a,c
I297.0846R5.35_HILICPos_X_HILICPos,NA,4,297.0846129,320.7671139,HILIC,1,b,b,a,e
I303.1551R9.17_HILICPos_X_HILICPos,NA,4,303.1550828,550.3408699,HILIC,1,c,c,b,f
I308.1605R5.35_HILICPos_X_HILICPos,NA,4,308.1604906,320.9923124,HILIC,1,b,a,a,e
I326.0563R6.58_HILICPos_X_HILICPos,NA,4,326.0563139,395.0956677,HILIC,1,d,a,a,d
I329.1742R7.17_HILICPos_X_HILICPos,NA,4,329.1741561,430.3804999,HILIC,1,a,a,a,e
I333.1293R11.28_HILICPos_X_HILICPos,NA,4,333.1293282,676.9274704,HILIC,1,c,c,b,f
Adenosyl Homocysteine_X_HILICPos,Adenosyl Homocysteine,1,385.129416,651,HILIC,1,b,b,b,a
Adenosyl Methionine_X_HILICPos,Adenosyl Methionine,1,399.145066,780.6,HILIC,1,c,b,b,a
I416.1778R9.11_HILICPos_X_HILICPos,NA,4,416.1777508,546.4650766,HILIC,1,c,a,b,b
I455.1888R6.34_HILICPos_X_HILICPos,NA,4,455.1888225,380.5471089,HILIC,1,a,b,e,d
I479.1923R4.35_HILICPos_X_HILICPos,NA,4,479.1922676,261.22867659999997,HILIC,1,a,a,a,c
I130.1592R4.02_CyanoAq_X_RP,NA,4,130.1592387,241.155707,RP,1,NA,a,a,NA
Agmatine_X_RP,Agmatine,1,131.129671,37.2,RP,1,d,a,a,b
I137.0459R1.05_CyanoAq_X_RP,Allopurinol ID:FIO00455,2,137.0459343,62.90067139,RP,1,a,a,a,a
Allopurinol_X_RP,Allopurinol,1,137.046336,76.2,RP,1,d,a,d,d
Sulfurol_X_RP,Sulfurol,1,144.048311,60,RP,1,NA,a,d,d
I146.0601R1.92_CyanoAq_X_RP,NA,4,146.0601298,115.1621115,RP,1,a,a,d,c
I152.0568R1.08_CyanoAq_X_RP,Guanine; Guanine; Guanine; Guanine; Guanine; Guanine;,3,152.0567647,64.83684643,RP,1,a,a,e,d
I152.1282R1.07_CyanoAq_X_RP,NA,4,152.1282209,63.9090288,RP,1,d,a,a,NA
I162.0776R1.13_CyanoAq_X_RP,NA,4,162.0775647,67.80700508,RP,1,a,a,a,g
I166.0864R1.12_CyanoAq_X_RP,Phenylalanine,1,166.0863823,67.38254579,RP,1,a,a,d,a
I168.0517R1.05_CyanoAq_X_RP,NA,4,168.0517475,62.96376063,RP,1,c,c,g,g
I175.0789R1_CyanoAq_X_RP,NA,4,175.0788755,60.22615831,RP,1,c,b,g,f
I182.0674R1.17_CyanoAq_X_RP,NA,4,182.0674339,70.35688732,RP,1,c,b,c,b
I190.1439R0.83_CyanoAq_X_RP,NA,4,190.1439161,50.03322992,RP,1,NA,a,b,d
I196.0831R1.52_CyanoAq_X_RP,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",3,196.0831142,91.40899018,RP,1,a,b,d,b
I203.1392R1.16_CyanoAq_X_RP,NA,4,203.1392444,69.85619044,RP,1,b,b,d,c
I204.1596R0.89_CyanoAq_X_RP,NA,4,204.1596333,53.36706598,RP,1,b,a,b,NA
Tryptophan_X_RP,Tryptophan,1,205.097703,124.19999999999999,RP,1,a,a,a,a
I206.0675R2.59_CyanoAq_X_RP,NA,4,206.0674531,155.2494688,RP,1,d,a,a,d
Kynurenine_X_RP,Kynurenine,1,209.092618,76.2,RP,1,d,a,d,e
Vitamin B5_X_RP,Vitamin B5,1,220.118498,70.19999999999999,RP,1,a,NA,a,a
I221.0844R0.89_CyanoAq_X_RP,NA,4,221.0843545,53.4325863,RP,1,c,b,c,g
I229.1549R0.89_CyanoAq_X_RP,NA,4,229.1548527,53.12191974,RP,1,a,a,a,f
I237.1235R1.65_CyanoAq_X_RP,NA,4,237.1235356,98.7078316,RP,1,b,b,d,c
I240.1092R0.94_CyanoAq_X_RP,"Dihydrobiopterin; 6-Lactoyl-5,6,7,8-tetrahydropterin Dihydrobiopterin; 6-Lactoyl-5,6,7,8-tetrahydropterin",3,240.1092399,56.47903286,RP,1,f,b,d,b
I241.0297R0.89_CyanoAq_X_RP,NA,4,241.029716,53.25975575,RP,1,c,b,g,NA
