Compound name in figures,Complete compound name,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
Arginine,L-Arginine,0.1866725480305571,0.19889015981616914,0.7373118962443121,0.26928003010852986,0.25663336128794223,0.20281083388652638,0.15906968356289827,0.18221463921937947,0.16580024382391267,0.19187462381784678,0.16116987334899008,0.24756705248206878,0.3475085679341389,0.3349641211702138,0.3385036611844569,0.13267186902332367,0.16660064269476665,0.23068161813180427,0.36958225730680017,0.24075347903498634,0.12448930177769688,0.09849302355395714,0.1111247070750589,0.14060628349772653,0.1000362001625968,0.1500833411739483,0.19842044726546054,0.26279689749077273,0.2240666618965955,0.18836527007205928,0.30023688752986977,0.07851233252907903,0.07377594808623697,0.04972939515373752,0.10973132713376077,0.21682809682377663,0.029935040358284763,5.24785543864767,3.159522413174548,0.29382750538466884,0.04416126380868804,0.8437464265493699,0.48233157599313636,0.6164836315664879,0.5637998319990097,0.3095678082133272,0.2756391803416688,0.31230849608484285,0.22509541019051915,0.16503456320193305,0.5981494547552514,0.6191013344142654,1.3681973214599346,0.3780459714099929,0.5075662946842634,0.47838134020636053,0.4378590951963536,0.19911765541588639
Argininosuccinate, L-Arginosuccinic acid,7.331092853346316e-5,1.2614257709946111e-4,NA,0.0011087471069240549,0.00217005415248206,0.003179155605598709,3.4624196876609437e-4,0.0011107559592828343,0.001072096609733356,3.281324959582045e-4,2.9251646727921124e-4,7.159322148050397e-4,NA,3.2243374227132785e-4,NA,4.6497795190713237e-4,2.004513775605366e-4,3.9899216961702857e-4,NA,NA,2.8646309347231424e-4,NA,NA,NA,NA,9.098526438652957e-5,2.251589187491431e-4,0.0015291566503106827,NA,2.4239978861533988e-4,NA,NA,NA,NA,NA,NA,NA,0.0033297246653386323,0.0015695827388161495,NA,NA,5.847089459280863e-4,8.198610135838724e-4,4.074022163836819e-4,NA,NA,NA,8.142733654068566e-4,3.661463714136109e-4,NA,0.0022812442482222587,0.001106746884275967,3.1220422699351346e-4,0.0010068601837232923,0.001751408941296182,0.0023760692404155167,0.00714326360759795,NA
Arsenobetaine,Arsenobetaine,0.012382826209438693,0.011517597282735536,0.012571286299453392,0.004461396778335485,0.004872343137037919,0.004093599543266412,0.0064624705296989285,0.0082181685152594,0.006846368389330572,0.006982284773660781,0.006775606876204557,0.008943614433233034,0.0018091249123656458,0.002527703197022764,0.0027998489228562005,0.006841104751447796,0.006931622720057838,0.00827962467816233,0.008073841332435175,0.008153053737187983,0.00782149841600145,0.005991184136479283,0.004469569370980083,0.006188874474728059,0.004844786386636323,0.005572214944434347,0.003907326197444031,0.003611359915976499,0.004031930957051892,0.0038801458291452887,0.0043272657206500425,0.002950707736632171,0.006940921073899995,0.006809808826205673,0.0072209190167049,0.007131210304265164,0.006570927376602309,0.001503486972224877,0.001960399670077612,0.0028586767206386175,0.0026377585592225394,0.0018247865935261901,0.001700014861003402,0.001697652857450602,0.002228688796838989,0.0018497907081671877,0.0037776119247520893,0.004808116030354949,0.002315828102403535,0.002232166644105411,0.0026262192826487186,0.003175551566308811,0.0025573923718572823,0.002976386381253272,0.0030820692177000097,0.0034032962719426248,0.004277172791653809,0.002547639353762062
Asparagine,L-Asparagine,0.02443794489680527,0.02102413625151577,0.02784869257799418,0.04567590045689058,0.05203636639941829,0.04200329222041572,0.02812983220188017,0.03260896545137027,0.03139914646235215,0.02174922171590821,0.02849098810669555,0.04559764124752917,0.045030075737859755,0.09342531349615102,0.07115307259009267,0.03677026310484638,0.06282517942480514,0.078601117104526,0.06744559153643916,0.044823299237561405,0.03834120865929749,0.04988865768937735,0.024515062868768183,0.0363886152855418,0.01894918827768504,0.05166840631592619,0.06974289318274539,0.07554418181778176,0.04370249661640695,0.06112884235886316,0.03563689410173632,0.02246701905836465,0.027844058798350932,0.0019501954699884154,0.008370034425264211,0.02768022011156829,0.002887757569038662,0.410821942714543,0.3809518248740703,0.08586603569319567,0.019666063582775034,0.08201111587758789,0.07733511758878571,0.05209211163724638,0.07526154684263332,0.03427441691937082,0.08772092337629614,0.10504366232151813,0.08892273701821608,0.06796856741666617,0.10010468124258912,0.09648458038773816,0.06862815625571395,0.04644320328124296,0.08637760578138784,0.09231284603768697,0.07860246576119774,0.04758383235163135
Aspartic acid,L-Aspartic acid,0.09897623018850571,0.06008270754984378,0.08308678521580937,0.3196360448943619,0.37521937080818374,0.2621381042908025,0.3177957163508355,0.44324749707829625,0.3427193487211072,0.2685033058677233,0.34519379708733766,0.5128446607944468,0.3030979991461616,0.42065114152998573,0.5318732581275708,0.32896235448479655,0.3102797806365064,0.5456924544262342,0.47563689954632954,0.46554309207040623,0.35934093253043575,0.4047005486060823,0.3176886374749286,0.25061286723419807,0.23462054775808322,0.40141027254208855,0.4724644304979647,0.432714410697617,0.39611035111946036,0.5708985444834775,0.3809476200056682,0.10561741351737716,0.13088825694419368,0.055850743298720404,0.04153770187034199,0.10789209581715616,0.03829779982066739,1.5802824508691473,1.6781039022527082,0.22564026446305632,0.11014518311527305,0.5026671990859355,0.47455472683853717,0.3909815838904258,0.5294544239575084,0.3605107576110606,0.69240921642958,1.0759926408922444,0.6548881677888914,0.6110502453783898,0.7021779512009672,0.7498603087113858,0.4667508827389085,0.475434402345016,0.474951332427082,0.6874467369154229,0.7355511941602345,0.4375675529030284
b-Alanine,beta-Alanine,0.028000454874375507,0.022874001206785864,0.03022872318485424,0.0986132403697208,0.13958584295880103,0.10553560401816739,0.0701636544544579,0.11562379495579851,0.11363657085147144,0.0346431089502419,0.0408558180696987,0.10640763567752114,0.1519040565899367,0.1359464030358915,0.1108731431644239,0.051724527419662374,0.05988714096729193,0.04660837787451095,0.4590956017695804,0.034056557549121756,0.05126843082042656,0.07154269023187615,0.02389731067467065,0.03864449896841717,0.027238681290938597,0.05412928712498361,0.16266118750684005,0.19073041164204618,0.12534879551593253,0.1328660309370146,0.09515475881079352,0.02085593677093503,0.4021311992146579,0.048322946070219114,0.06019652830589595,0.04231761077169757,0.036397947759053965,0.7930185386678649,0.5633632240236335,0.14019047200895915,0.06767656757512944,0.2651641416431226,0.15851598004344136,0.11971463442219683,0.6143688149286527,0.22556887325310848,0.17716318219871904,0.241617606348377,0.17152689962596882,0.16462562159207025,0.22230769890481572,0.18883688331594187,0.13846004011513274,0.13006145306167632,0.2077641908975939,0.32972519450077825,0.19235178444714662,0.1463835299783825
b-Glutamic acid,beta-Glutamic acid,0.04472420307842071,0.03284669073838495,0.040852026501719645,0.06741292838015375,0.08284715844982588,0.06046016504402858,0.026355677128169115,0.03998183840724746,0.03400152432959838,0.021732822731928683,0.023031886105888452,0.03459136551952355,0.04104654917752213,0.10043651178423624,0.14181705806499184,0.03379306286364673,0.04730899095953923,0.052237488557054734,0.030598294780932483,0.04105919897171958,0.03989911058998535,0.04623039450017929,0.034017948407887466,0.024746030004060688,0.018006241320028316,0.021605336369881236,0.1478757632696412,0.15050459300056906,0.11952165280252677,0.08090615754437595,0.17964443244340508,0.397008302542817,0.3350127515596646,0.33222405094322055,0.27811676488178444,0.4004497101633102,0.3131451455627997,0.24292557005410384,0.1785437825715117,0.062408863473265144,0.09669663484863845,0.04303402675616439,0.03763658517126084,0.02967639172362515,0.06639073543798447,0.03690491199861923,0.13589236122448498,0.18119866226640968,0.08362926461679596,0.05923282083580159,0.10456920015379359,0.08796752759448903,0.04241750319676121,0.07588279687181969,0.12540099380388708,0.1623410891593427,0.13945382820165564,0.09371188389988151
Glycine betaine,Glycine betaine,0.5127859320972709,0.445364137031952,0.49520580850373574,0.6422924190895606,0.6814026728519131,0.6162152052574464,0.579196714266345,0.6485139401487121,0.6096839020966963,0.3904380757381264,0.4328274059488091,0.540985871387348,1.07903385134012,1.4517409768614906,1.6443928235512724,1.066056323032607,0.9816828740275296,1.0720003874781163,1.162791176697226,1.3108097954570281,0.8158704865464346,0.8555960916986142,0.6409970632986965,0.9733356747348747,0.8128206556026509,0.8646766970269931,1.2960624835423953,1.4370220504104834,1.4399190479481407,0.9746782390988207,1.138427048370894,0.7061481006633291,1.168446149524758,0.9236732714169261,1.3072614549217199,2.6931885230544506,0.4166010559804868,8.431085207748541,7.88517662568247,3.0092911553620785,1.2927823292938676,1.7990136378775108,1.358102950155089,1.5580393097085392,1.6600508387363893,1.2030827335658179,1.3263265294179476,1.6666760440798876,0.9258888248671193,1.079468146252345,1.5608537516644867,2.5471528270355375,2.430514099555206,1.7718141151429134,1.5544099654218435,2.0141016182898386,2.1249869651963813,1.3442165367731314
Betonicine,Betonicine,0.003966651138816213,0.0037261430202129237,0.005613942941404043,0.010367552248088866,0.010751900932735607,0.011194534506872297,0.0058357069307651485,0.005502927890802712,0.005799037406035353,0.003952391362113476,0.00625185096557286,0.007035641433859943,0.009188608281838921,0.012227949295051624,0.010749178380396483,0.023417865894513838,0.027632664494220062,0.02226789621328843,0.020970610336852217,0.02504235771711963,0.01647584263264358,0.03093848117447383,0.012996734238943014,0.03232204237144176,0.023883260123612554,0.02686031837130271,0.011654565615882491,0.01396571713375101,0.018638077347985355,0.01869946007800338,0.021288420723741396,0.0044368899858985384,0.006976239445975023,0.004402223874731359,0.004574085270129423,0.005233254607132936,0.001785535301931444,0.07521296771906441,0.08192726972702635,0.03653926805788713,0.010288998275426484,0.01801914378777112,0.01042669899731858,0.008824099633280954,0.013838399605211892,0.012342227173103511,0.011634225656522662,0.02182020099635619,0.008526435764347362,0.007177302705820105,0.011187851678179187,0.012186944902720959,0.011800006925469817,0.014295221167466541,0.011255446027200149,0.01958461986558202,0.013950065293068924,0.006112757724020011
Butyryl-L-carnitine,Butyrylcarnitine,7.629717201296879e-5,9.593087715303919e-5,1.138104831993732e-4,8.417362403428499e-5,8.416488985990973e-5,8.0350658814863315e-05,7.74753289803686e-5,7.93638614158518e-5,7.456287683261419e-5,6.0838683908136004e-5,7.042725826589475e-5,9.480991139804913e-5,1.5918208684167335e-4,1.3770364185292127e-4,1.470820454061721e-4,9.677338973053557e-5,1.1244335237643746e-4,0.00011585696975418008,1.4624511511073605e-4,1.597741457617792e-4,1.5329638450695642e-4,7.249049508254873e-5,6.138127859548297e-5,8.176701418651858e-5,7.485707181031244e-5,9.046481844819055e-5,8.670484993203017e-5,1.352893280728054e-4,1.1423609629514157e-4,8.620785772507763e-5,1.0393598120188973e-4,NA,1.1228758649699655e-4,NA,NA,NA,NA,0.0013568415456970476,7.222993852798934e-4,1.6909990709980955e-4,NA,2.741240421683233e-4,1.024614145999704e-4,1.2195357041543799e-4,1.84139351029077e-4,1.1694019489387995e-4,1.4115339697423572e-4,1.7934724865063917e-4,2.699688942845644e-4,2.388703832802608e-4,1.705406745565519e-4,3.7061050288566427e-4,2.737143278000077e-4,1.1187604792827413e-4,1.1645447951873889e-4,2.1116762363982157e-4,1.3418347261768697e-4,7.015111823465157e-5
Carnitine,Carnitine,0.002711495463415846,0.0028360377150869554,0.004351100757702963,0.008487950022452288,0.010387522621808892,0.010210294541138552,0.005537748925364332,0.005360487832867661,0.005478287940213908,0.004375858611466767,0.005167387270203348,0.006679261145353192,0.018679495954512692,0.036665902016529084,0.027862694619129103,0.018214315838875873,0.024946277547012334,0.025941203405282158,0.030879962953334446,0.02575694513196844,0.014201723686759139,0.023235207624460515,0.010421423932789668,0.020213314133071196,0.01723962651867028,0.02559996990735602,0.023013287082431208,0.024163598648199093,0.025250800722014362,0.021960255299935935,0.01910889597695592,0.008925713482345329,0.043890893302377026,0.008411543395728487,0.007859178392581103,0.0094094279233155,0.0053635721085466,0.20956102712616717,0.15235062922322276,0.07189206622589439,0.014983884328763878,0.021931955447149494,0.023452856699711956,0.018790112594251108,0.024019078296452022,0.023876946331388538,0.044453648303043276,0.0765102662587556,0.023070492827086547,0.017040746375777387,0.030765473972940657,0.03923722799863358,0.03435959999859974,0.027889674940989644,0.03376585837341205,0.03103100535616213,0.03208489738275723,0.014773910479177012
Choline,Choline,0.0022906593708425646,0.0018555742137043372,0.003819439708216539,0.009900735952423903,0.007559509794683282,0.007457308497626034,0.0033427415701386886,0.0022000350905481848,0.0024430915262380953,0.004760865364459249,0.002582491098319398,0.0024741722943426806,0.055877194613713946,0.386574631487752,0.2555249804903702,0.0363407781355665,0.05249962328916346,0.06309015416230586,0.0793396203901712,0.07586528009719723,0.016761915543010823,0.029770384026230678,0.024843958187186405,0.030519310537781882,0.025436167571068893,0.051677297559478405,0.04305316019118149,0.04194249805676947,0.04381075039087063,0.07160383599784986,0.07418348684271099,0.015809806205531438,0.01945695335184422,0.014531182969326033,0.0240522715805648,0.03147160294522748,0.009349091432222529,0.5468243547736761,0.27765869160716306,0.06451668456343393,0.02454525670686828,0.06407802107418588,0.046532078129954496,0.05794905520620594,0.05057045682279285,0.0685399496735646,0.0714330378598692,0.13132203221999664,0.04320350927633942,0.0389431792549359,0.09526765638555781,0.13977432090678654,0.1293511358127856,0.04513975507344185,0.09380578869168779,0.15968617049796624,0.08166125219837479,0.07203198450983699
Citrulline,Citrulline,0.010714205747913862,0.009483961847843166,0.011996249045473814,0.03813082095884145,0.07336024511250691,0.060049449165050506,0.03792094512221843,0.08797775827595024,0.0683640932766716,0.024024126767311513,0.04340794973055611,0.0943640704295097,0.025447797038324164,0.03300229053225068,0.02966777550121961,0.028187632230617026,0.02808865797068244,0.049195488963459585,0.03307079966760819,0.02698701089147808,0.013174733403729488,0.028044064022577336,0.017736020825200476,0.025025799208816542,0.010925229117264455,0.017994944300370824,0.028764804426835718,0.0376707790851564,0.03147397180490584,0.04904092621303266,0.028523223930619027,0.015596836372157452,0.0042900734107748405,0.002943095976844392,0.0034081709096876875,0.008414559152383054,0.005002263176354222,0.13150302371512457,0.03382726579906824,0.007825375561488955,0.008109068437247006,0.019657340933980867,0.03450973082015887,0.02058444962881441,0.027919411829060842,0.02102418560359393,0.03930092015039434,0.04129519388456447,0.03626566527898166,0.024311590307674,0.07048377013313009,0.0478879539813674,0.02354272396805617,0.05051454457649082,0.06938839479106201,0.05764540134006085,0.0771280896290654,0.05494184018627636
Creatine,Creatine,0.00656162038315054,0.009222071186076434,0.012432538232170182,0.016250827997532725,0.03182948218589306,0.03969586073276822,0.01575096730725881,0.023594079500956416,0.020284739611595586,0.00652806667334422,0.012652039195460948,0.042601314307086184,0.008817503194169851,0.006610709397518216,0.0045783243198537936,0.0015859988316202945,0.006753990821805731,0.004019420034103801,0.04205125327214359,0.0024667175103823226,0.0029470134788348347,0.003505457768866794,8.41404379326424e-4,0.0035514756115143003,0.002510968746687694,0.0019616533998269023,0.006756287710009728,0.007017243123912895,0.010310486488260606,0.002367738086716086,0.003595270831179971,0.002782197396637969,0.005368253493356986,0.00755507402543042,0.004466715575753135,0.0023514316537371818,0.002118743052471108,0.30215529997178725,0.03841161216510324,0.07643057875856395,0.04521932741699414,0.014172928375944227,0.00387049651493597,0.006435307335571986,0.017079636036547254,0.012263837875200953,0.008325026919122324,0.009898507790257676,0.0032721518153618983,0.004998238457186149,0.00852185095326315,0.014328522070437517,0.01369070719858365,0.01073995610304251,0.005456198161066301,0.016528618432263033,0.011642499096801047,0.0032711646503543797
