KOK1606 HPLC,,,,,analyzed June 2016,,,,,,All values are in ng/L,,,,,,,,,,,,,,,,,,Bidigare's calcs,,,,,
Date analyzed,Rosette,Date,latitude,longitude,Station,Depth (m),Cast,Niskin,HPLC ID#,L filtered,19But,19Hex,Allo,B Car,A Car,Chla,Chlb,"Chlc 1,2",Chl c 3,Cphlid,Diadino,Fuco,Lut,Peri,Prasino,Viola,Zea,,Total car,A car,B car,DVa,MVa,TOTCHLA
62916,,,35.6433,-157.999496,10,15,1,8,2,4.4,55.4,91.1,0,5.8,7.7,329.9,19.8,40.8,22,0,18.5,19.6,0,0,0,0,64,,13.4,7.7,5.8,72.5,234.3,306.8
60716,,,33.090833,-158.002214,12,15,1,8,2,4.4,3.9,12.6,0,2.7,5.1,110.2,7.3,3.1,0,0,4,6.9,2,0,0,0,50.3,,7.8,5.1,2.7,55.4,37.1,92.5
60716,,,29.700608,-157.999422,13,15,1,8,1,4.4,53.8,56.1,0,21,0,412.7,68.1,19.8,17,0,6.6,11.4,4.2,2.6,0,2.7,145.8,,21,0,21,195.8,154.7,350.4
60716,,,29.700608,-157.999422,13,15,1,8,2,4.4,3.9,10.3,0,2.3,3.9,113.3,10.2,3.5,1.7,0,3.3,6.3,5.3,0,0,0,41,,6.1,3.9,2.3,54.7,41.1,95.9
60916,,,26.283176,-157.998902,14,12,1,2,15,4.4,37.8,51.1,0,1.5,14.2,190.3,63.7,7.7,8.2,0,3.8,3.8,2.1,0,0,0,9.8,,15.7,14.2,1.5,74.3,92.3,166.6
60916,,,26.283176,-157.998902,14,12,1,2,15,4.4,38.8,49.6,0,1.9,12.5,193,67.8,7.3,7.5,0,4.1,3.2,3.2,0,0,0,9.7,,14.4,12.5,1.9,86.2,79.3,165.5
61016,,,26.283176,-157.998902,14,15,2,16,49,4.4,3.9,20.3,0,2.8,5.4,120.8,4.6,5,2.2,0,12.1,7.4,0,0,0,0,59.7,,8.2,5.4,2.8,46.9,58.9,105.9
61016,,,26.283176,-157.998902,14,15,2,16,50,4.4,4.9,21.2,0,3.7,5.4,120.8,5.3,6.5,3.4,0,13.9,7.7,0,1.6,0,1.2,60.2,,9,5.4,3.7,44.8,61.7,106.6
61016,,,26.283176,-157.998902,14,45,2,13,51,4.4,12.2,39,0,2.4,8.9,168,22.5,8.5,3.7,0,5.9,5.7,0,0,0,0,56.1,,11.2,8.9,2.4,72.9,72,144.8
61016,,,26.283176,-157.998902,14,45,2,13,52,4.4,12.1,38.6,0,2.1,7.9,161.1,21,11.8,5.9,0,6.4,5.9,0,1.7,0,0.8,53.4,,10,7.9,2.1,68.8,70.4,139.2
61016,,,26.283176,-157.998902,14,80,2,7,53,4.4,73.3,138.4,0,3.1,14.6,376.4,74.7,42.8,31.1,0,5.2,17.7,0,2.3,0,0,33.8,,17.7,14.6,3.1,140.9,190.6,331.6
61016,,,26.283176,-157.998902,14,80,2,7,54,4.4,80.9,152.8,0,2.8,15.7,406.9,78.5,48.2,35.1,0,7.1,19.8,0,3.9,0,0,38.1,,18.5,15.7,2.8,162.1,193.2,355.3
61016,,,26.283176,-157.998902,14,200,2,2,55,4.4,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,1.6,3.2,4.8
61016,,,26.283176,-157.998902,14,200,2,2,56,4.4,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,,0,#DIV/0!,#DIV/0!,4.4,0,4.4
63016,,,,,testcast,100,1,1,1,4.4,10.3,38.6,0,4.3,14.6,212.5,22,10.6,12.1,0,6.4,9.7,0,4,0,0,90.6,,18.9,14.6,4.3,109.8,67.7,177.5
63016,,,,,testcast,100,1,1,2,4.4,7.2,25.8,0,3.4,10.1,157.8,14.7,6.6,5.5,12.7,7.5,7.3,0,3.2,0,0,87.4,,13.6,10.1,3.4,79.5,53.1,132.5
