matlab date,lat,lon,sst,sal
736449.2726,36.56834251,-157.9991113,12.17454824,34.06938045
736449.2764,36.57039833,-157.9965755,12.17530384,34.06822521
736449.2938,36.5775971,-157.9832622,12.18211796,34.06504136
736449.3108,36.58487152,-157.9691396,12.18460446,34.06309238
736449.3146,36.58657749,-157.9657466,12.19102524,34.06193714
736449.3184,36.5882583,-157.9623397,12.19606045,34.0618745
736449.3219,36.58981788,-157.9593468,12.19810152,34.06268195
736449.3257,36.59189497,-157.9561046,12.20344917,34.06309722
736449.3295,36.59413681,-157.9529526,12.20159232,34.06326371
736449.3333,36.59574423,-157.9496284,12.20518683,34.06405785
736449.3372,36.59315038,-157.9483273,12.22231198,34.06910684
736449.341,36.58683077,-157.9490774,12.25530194,34.08061667
736449.3448,36.58027669,-157.949879,12.33659357,34.10848562
736449.3483,36.57433202,-157.9502793,12.47691309,34.12909585
736449.3521,36.56787937,-157.9506775,12.89355611,34.22387167
736449.3559,36.56136127,-157.9511857,13.17966617,34.27751394
736449.3597,36.554842,-157.9516768,13.20919306,34.26857761
736449.3771,36.52499179,-157.9536609,13.58788815,34.29805519
736449.3941,36.49522755,-157.9559452,13.6790125,34.29741261
736449.3979,36.48834233,-157.9562117,13.63866782,34.29199594
736449.4017,36.48164306,-157.9563366,13.54148465,34.27974479
736449.4052,36.47556221,-157.9566139,13.5214256,34.27355044
736449.409,36.46867443,-157.9569605,13.4677663,34.26575403
736449.4128,36.46191904,-157.957296,13.44797669,34.26696672
736449.4167,36.45516926,-157.957576,13.43989306,34.26573921
736449.4205,36.44852714,-157.9578536,13.40957967,34.257302
736449.4243,36.44184278,-157.9581731,13.40951733,34.28273802
736449.4281,36.4351773,-157.9587738,13.37149767,34.28682
736449.4316,36.42899362,-157.9595365,13.3606174,34.285141
736449.4354,36.42241124,-157.9603543,13.44107688,34.29722143
736449.4392,36.41587412,-157.9612825,13.48225633,34.31150133
736449.4431,36.40914072,-157.9626748,13.33527117,34.28042239
736449.4604,36.37983809,-157.9693385,13.17084748,34.2410653
736449.4774,36.35077093,-157.9763321,12.87398809,34.17304272
736449.4813,36.34450451,-157.9779963,12.82932558,34.15908227
736449.4851,36.33839828,-157.9796132,12.88339649,34.17860527
736449.4885,36.33249536,-157.9813054,12.91275403,34.19505308
736449.4924,36.32611271,-157.9832333,12.9318844,34.19988409
736449.4962,36.31973673,-157.9852514,13.00500123,34.21539591
736449.5,36.31353296,-157.987104,13.15945958,34.23499762
736449.5038,36.30741428,-157.9889295,13.53346027,34.29789232
736449.5076,36.3011737,-157.9907252,13.83264287,34.35121253
736449.5115,36.29480676,-157.9923898,15.57791638,33.29481419
736449.5149,36.28888402,-157.9931402,13.95267482,34.3749959
736449.5188,36.2826549,-157.9937172,14.03123397,34.38638482
736449.5226,36.27626855,-157.9942124,14.07974788,34.38758745
736449.5264,36.27000621,-157.9946788,14.14038786,34.39477636
736449.5438,36.24048313,-157.9968716,14.22548511,34.39829353
736449.5608,36.21136381,-157.9990845,14.256121,34.3993458
736449.5646,36.20478691,-157.9998145,14.24808258,34.39733222
736449.5684,36.19829817,-158.000477,14.23076979,34.39376551
736449.5719,36.1924283,-158.0009205,14.1981935,34.39086235
736449.5757,36.18601272,-158.0014686,14.15284167,34.53384417
736449.5795,36.1793615,-158.0016598,14.20461933,34.37966033
736449.5833,36.17282927,-158.0017618,14.28318817,34.37768091
736449.5872,36.16623501,-158.0017841,14.31490633,34.372143
736449.591,36.1596695,-158.0018011,14.27393708,34.35555471
736449.5948,36.15302618,-158.0018981,14.21079231,34.34783918
736449.5983,36.14704587,-158.0019383,14.14954593,34.33644796
736449.6021,36.1404524,-158.0019124,14.12898414,34.33641017
736449.6059,36.13370167,-158.0015201,14.05231272,34.32082809
736449.6097,36.12697367,-158.0009287,16.78083821,34.24314003
736449.6271,36.09888743,-157.9996867,13.9760751,34.31260643
736449.6441,36.07246173,-157.9991672,14.21151625,34.35191387
736449.6479,36.06622493,-157.9994482,14.22376278,34.35191583
736449.6517,36.06008446,-157.9993758,14.24820589,34.3544411
736449.6552,36.05492579,-157.9989331,14.25383578,34.35461152
736449.659,36.04887397,-157.9986006,14.23844667,34.35265333
