Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM
molecules1,180716_Smp_S7E41D160_1,I132.1021R0.87_CyanoAq,0.89,59793960,383654,10572433,-0.8
molecules1,180716_Smp_S7E41D180_1,I132.1021R0.87_CyanoAq,0.73,61649080,267571,15380305,-0.8
molecules1,180716_Smp_S7E41D250_1,I132.1021R0.87_CyanoAq,0.73,29453426,627228,10638782,-0.6
molecules1,180716_Std_250nMStdsInH2O_3,I132.1021R0.87_CyanoAq,0.89,1047277,412337,139064,-0.7
molecules1,180716_Std_250nMStdsInMatrix_3,I132.1021R0.87_CyanoAq,0.74,276916800,0,34840028,-1
molecules1,170413_Std_250nMStdsInH2O_1,I132.1021R0.87_CyanoAq,0.77,1304357,377235,496243,-0.1
molecules1,170425_Std_250nMStdsInH2O_1,I132.1021R0.87_CyanoAq,0.87,704717,190354,90673,-0.3
molecules1,170425_Std_250nMStdsInH2O_2,I132.1021R0.87_CyanoAq,0.89,173562,25601,27034,0
molecules1,180716_Blk_Blk0p2_1,I166.0864R1.12_CyanoAq,1.14,321646,0,136477,-1.7
molecules1,180716_Blk_Blk0p2_2,I166.0864R1.12_CyanoAq,1.14,488991,0,226026,0.2
molecules1,180716_Blk_BlkMQ_2,I166.0864R1.12_CyanoAq,1.14,911768,20139,396771,-0.9
molecules1,180716_Blk_BlkMQBlk_1,I166.0864R1.12_CyanoAq,1.13,313443,12995,118991,-0.4
molecules1,180716_Blk_BlkMQBlk_3,I166.0864R1.12_CyanoAq,1.13,260693,37650,109786,-0.4
molecules1,180716_Blk_FilterBlk_1,I166.0864R1.12_CyanoAq,1.13,695576,140352,249525,-0.5
molecules1,170413_Blk_FilterBlk_A,I166.0864R1.12_CyanoAq,1.13,2161399,0,811512,0.7
molecules1,170413_Blk_FilterBlk_B,I166.0864R1.12_CyanoAq,1.12,502642,0,163100,0.6
molecules1,170425_Blk_FilterBlk_A,I166.0864R1.12_CyanoAq,1.11,488308,0,198014,0.1
molecules1,170425_Blk_FilterBlk_B,I166.0864R1.12_CyanoAq,1.11,354938,0,132376,0.2
