"#Sample 170410_Smp_KM1513-15m_C, mz 138.0549 extracted",,
RT,intensity,Column
1.565722108,15839.62793,HILIC
1.581022024,29894.10938,HILIC
1.59632206,27239.93945,HILIC
1.611622095,35494.1875,HILIC
1.626922011,24244.58203,HILIC
1.642222047,30293.67773,HILIC
1.657522082,14386.39453,HILIC
1.672822118,22411.21875,HILIC
1.688122034,11429.08105,HILIC
1.70342207,20319.22852,HILIC
1.718722105,27292.50977,HILIC
1.734022021,29383.75977,HILIC
1.749322057,16070.84766,HILIC
1.764622092,12609.21875,HILIC
1.779922009,21477.77734,HILIC
1.795222044,18503.70508,HILIC
1.810522079,20056.41016,HILIC
1.825822115,18326.62891,HILIC
1.841122031,10809.71191,HILIC
1.856422067,8863.277344,HILIC
1.871722102,19680.73047,HILIC
1.887022018,32003.69922,HILIC
1.902322054,16611.82813,HILIC
1.917622089,19118.53711,HILIC
1.932922125,23825.64648,HILIC
1.948222041,17162.8125,HILIC
1.963522077,13343.95313,HILIC
1.978822112,9398.222656,HILIC
1.994122028,16415.92969,HILIC
2.009422064,12698.76563,HILIC
2.024722099,10149.48633,HILIC
2.040022135,13205.58789,HILIC
2.05532217,28164.14648,HILIC
2.070621967,20843.83789,HILIC
2.085922003,4517.658203,HILIC
2.101222038,0,HILIC
2.116522074,0,HILIC
2.131822109,6778.008301,HILIC
2.147122145,16294.03125,HILIC
2.16242218,17192.88281,HILIC
2.177721977,26994.77539,HILIC
2.193022013,44685.53516,HILIC
2.208322048,56973.61328,HILIC
2.223622084,64727.59375,HILIC
2.238922119,66836.38281,HILIC
2.254222155,45427.35547,HILIC
2.269521952,58952.48438,HILIC
2.284821987,56542.97266,HILIC
2.300122023,41012.97656,HILIC
2.315422058,32370.91602,HILIC
2.330722094,16869.76172,HILIC
2.346022129,38260.41406,HILIC
2.361322165,23655.00977,HILIC
2.376621962,16425.92188,HILIC
2.391921997,15131.60547,HILIC
2.407222033,15654,HILIC
2.422522068,18620.95703,HILIC
2.437822104,18496.4375,HILIC
2.453122139,26864.3125,HILIC
2.468422174,31667.33789,HILIC
2.483721972,33478.14844,HILIC
2.499022007,38390.1875,HILIC
2.514322042,32992.78516,HILIC
2.529622078,29407.8457,HILIC
2.544922113,11873.86035,HILIC
2.560222149,14686.28418,HILIC
2.575522184,29946.11523,HILIC
2.590821981,12122.06543,HILIC
2.606122017,17257.30273,HILIC
2.621422052,18520.52344,HILIC
2.636722088,1805.717529,HILIC
2.652022123,0,HILIC
2.667322159,0,HILIC
2.682621956,0,HILIC
2.697921991,34044.26172,HILIC
2.713222027,117358.8203,HILIC
2.728522062,108342.4063,HILIC
2.743822098,65944.74219,HILIC
2.759122133,55309.82422,HILIC
2.774422169,55095.19141,HILIC
2.789721966,48557.16016,HILIC
2.805022001,45079.57422,HILIC
2.820322037,48808.39844,HILIC
2.835622072,56635.94141,HILIC
2.850922108,62145.84766,HILIC
2.866222143,52039.59766,HILIC
2.881522179,53320.625,HILIC
2.896821976,46594.65625,HILIC
2.912122011,51450.00391,HILIC
2.927422047,58501.81641,HILIC
2.942722082,46721.79688,HILIC
2.958022118,56157.39844,HILIC
2.973322153,43609.3125,HILIC
2.98862195,46558.92188,HILIC
3.003921986,55751.85938,HILIC
3.019222021,54935.69922,HILIC
3.034522057,51219.68359,HILIC
3.049822092,47900.64453,HILIC
3.065122128,51563.47656,HILIC
3.080422163,50857.46094,HILIC
3.09572196,48425.40625,HILIC
3.111021996,43711.65625,HILIC
3.126322031,43140.79688,HILIC
3.141622066,51245.31641,HILIC
3.156922102,50181.71094,HILIC
3.172222137,50870.44922,HILIC
3.187522173,67304.72656,HILIC
3.20282197,71375.20313,HILIC
3.218122005,53032.76953,HILIC
3.233422041,60867.00781,HILIC
3.248722076,56592.94141,HILIC
3.264022112,57508.94531,HILIC
3.279322147,49270.19531,HILIC
3.294622183,60280.19141,HILIC
3.30992198,67332.51563,HILIC
3.325222015,67313.60938,HILIC
3.340522051,85705.01563,HILIC
3.355822086,76055.21094,HILIC
3.371122122,80656.51563,HILIC
3.386422157,92241.78906,HILIC
3.401721954,72277.10156,HILIC
3.41702199,61370.77734,HILIC
3.432322025,76197.64063,HILIC
