MF_Frac,Column,AvePoo,AveBlank,AveSmp,mz,rt,BestMatch,Confidence,Manual_Annote,Manual_Confidence,MS2dat1,MS2dat2,MS2dat3,MS2dat4,RT,Adduct,IsotopeMatch,MassFeature,pcgroup,IonType,Charge,MassOfM,IsoGroup,mzOfI,TargetMatches,ppmMatches,RTdiffMatches,KeggMatches,Keggppm,KeggNames,MS2,MassBankMatch,MassBankppm,MassBankCosine1
Lysine,HILICPos,NA,NA,NA,NA,NA,Lysine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malic Acid,HILICNeg,NA,NA,NA,NA,NA,Malic Acid,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methionine Sulfoxide,HILICPos,NA,NA,NA,NA,NA,Methionine Sulfoxide,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methionine,HILICPos,NA,NA,NA,NA,NA,Methionine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methylthioadenosine,CyanoAq,NA,NA,NA,NA,NA,Methylthioadenosine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N-acetyltaurine,HILICNeg,NA,NA,NA,NA,NA,N-acetyltaurine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N(e)-Acetyl-Lysine,HILICPos,NA,NA,NA,NA,NA,N(e)-Acetyl-Lysine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAD,HILICNeg,NA,NA,NA,NA,NA,NAD,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophthalmic Acid,CyanoAq,NA,NA,NA,NA,NA,Ophthalmic Acid,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ornithine,HILICPos,NA,NA,NA,NA,NA,Ornithine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenylalanine,CyanoAq,NA,NA,NA,NA,NA,Phenylalanine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Propionyl-L-carnitine,HILICPos,NA,NA,NA,NA,NA,Propionyl-L-carnitine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcosine,HILICPos,NA,NA,NA,NA,NA,Sarcosine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serine,HILICPos,NA,NA,NA,NA,NA,Serine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sucrose,HILICNeg,NA,NA,NA,NA,NA,Sucrose,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sulfolactic Acid,HILICNeg,NA,NA,NA,NA,NA,Sulfolactic Acid,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sulfurol,CyanoAq,NA,NA,NA,NA,NA,Sulfurol,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Threonine,HILICPos,NA,NA,NA,NA,NA,Threonine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thymidine,HILICNeg,NA,NA,NA,NA,NA,Thymidine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trehalose,HILICNeg,NA,NA,NA,NA,NA,Trehalose,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tryptophan,CyanoAq,NA,NA,NA,NA,NA,Tryptophan,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrosine,HILICPos,NA,NA,NA,NA,NA,Tyrosine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uracil,HILICNeg,NA,NA,NA,NA,NA,Uracil,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uridine,HILICNeg,NA,NA,NA,NA,NA,Uridine,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B2,CyanoAq,NA,NA,NA,NA,NA,Vitamin B2,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B3,CyanoAq,NA,NA,NA,NA,NA,Vitamin B3,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B3,HILICPos,NA,NA,NA,NA,NA,Vitamin B3,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vitamin B5,CyanoAq,NA,NA,NA,NA,NA,Vitamin B5,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
