MF_Frac,Column,AvePoo,AveBlank,AveSmp,mz,rt,BestMatch,Confidence,Manual_Annote,Manual_Confidence,MS2dat1,MS2dat2,MS2dat3,MS2dat4,RT,Adduct,IsotopeMatch,MassFeature,pcgroup,IonType,Charge,MassOfM,IsoGroup,mzOfI,TargetMatches,ppmMatches,RTdiffMatches,KeggMatches,Keggppm,KeggNames,MS2,MassBankMatch,MassBankppm,MassBankCosine1
I87.0446R10.14_HILICPos,HILICPos,9612484.535,16058.86459,11592035.63,87.04464517,608.4668507,Cyclopropanecarboxylate Diacetyl; Cyclopropanecarboxylate Diacetyl; Cyclopropanecarboxylate Diacetyl;,3,,,"86.07185, 100; 87.04463, 75.1; 88.07771, 47.9; 70.06583, 47.7; 87.09224, 32.8; 86.06061, 17.2; 87.05595, 14.9; 86.09707, 8.4; 59.06116, 5.8; 87.07522, 5.6; 88.11276, 2.5; 69.04539, 2.5; 58.06594, 2.5; 86.08437, 2; 60.04512, 1.8; 69.05788, 1.7; 59.04992, 1.4; 71.04977, 1.4; 63.85334, 1.3; 70.53423, 1.2","86.07192, 100; 87.0923, 93.4; 87.0437, 77.1; 88.07634, 68.5; 70.06586, 43.6; 87.05598, 18.4; 86.06072, 15.9; 86.09713, 8.1; 87.07528, 7.5; 88.11271, 5.6; 59.0612, 3; 69.04543, 2.9; 60.04521, 2.8; 59.04995, 2.6; 58.06593, 2.5; 58.5954, 1.1; 102.03532, 1; 99.5692, 1; 73.45889, 1; 63.55814, 1; 88.0876, 1; 60.02795, 1; 88.41179, 1; 96.10787, 1; 90.61386, 0.9; 67.63622, 0.9; 73.19414, 0.9; 100.63125, 0.9; 71.8028, 0.9; 55.96487, 0.9; 73.51051, 0.9; 87.26269, 0.8; 88.05141, 0.8; 59.77472, 0.8; 90.27714, 0.8; 57.97882, 0.8; 63.72552, 0.8; 52.69299, 0.8","87.04464, 100; 86.07186, 66.4; 88.07629, 30.1; 87.09222, 29.6; 70.06584, 28.8; 88.11264, 13; 86.06063, 9.4; 87.0559, 5.7; 86.09702, 3.9; 58.0659, 2.3; 87.07529, 2; 88.0481, 1.5; 87.04765, 1.2; 87.06902, 1.1; 69.04536, 1; 57.8412, 0.8; 65.597, 0.7; 74.24006, 0.7; 89.06087, 0.7; 79.19486, 0.7; 64.09183, 0.7; 73.43332, 0.6; 52.40385, 0.6; 96.06261, 0.6; 66.04033, 0.6; 65.92633, 0.6","87.04467, 100; 86.07189, 68.5; 70.06586, 34.9; 87.09226, 31; 88.0763, 30; 88.11267, 11.6; 86.06063, 9.2; 87.0559, 5.4; 86.09708, 4.7; 87.07533, 2.9; 58.06591, 2.6; 87.04755, 1; 73.63877, 1; 86.08443, 0.9; 65.80786, 0.9; 88.02214, 0.8; 53.22116, 0.8; 58.87343, 0.8; 90.30821, 0.8; 88.55679, 0.8; 95.84969, 0.7; 62.28673, 0.7; 99.18941, 0.7; 70.45892, 0.7; 65.98526, 0.7; 69.95168, 0.7; 62.6624, 0.7; 59.40496, 0.7; 70.88474, 0.7",10.14111418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpd:C00429; cpd:C00741; cpd:C01770; cpd:C01771; cpd:C01892; cpd:C02065; cpd:C02248; cpd:C02497; cpd:C02512; cpd:C02565; cpd:C02743; cpd:C02777; cpd:C06143; cpd:C08311; cpd:C11551; cpd:C11552; cpd:C12282; cpd:C13695; cpd:C15811; cpd:C15812; cpd:C16267; cpd:C16835; cpd:C19118; cpd:C19201; cpd:C19309; cpd:C19443; cpd:C19546; cpd:C21440,0.46770541,Cyclopropanecarboxylate Diacetyl; Cyclopropanecarboxylate Diacetyl; Cyclopropanecarboxylate Diacetyl;,NA,NA,NA,NA
I204.1233R3.65_HILICPos,HILICPos,9243224.206,822847.2183,21072331.36,204.1233135,219.1968876,NA,4,,,"145.04958, 100; 204.123, 86.8; 60.08154, 30.2; 215.78981, 29.4; 215.77638, 21.7; 121.95802, 14.4; 204.14919, 5.7; 204.11359, 5.1; 144.10178, 4.1; 204.17493, 3.2; 55.01877, 3; 51.11414, 2.8; 68.50523, 2.8; 120.69811, 2.8; 203.1181, 2.7; 164.03851, 2.7; 66.72484, 2.6; 70.25739, 2.5; 57.9242, 2.4; 115.85302, 2.3; 53.92036, 2.1","145.04967, 100; 204.1232, 81.3; 60.08158, 29.2; 220.78156, 18.2; 204.11337, 6.6; 204.17458, 6.2; 204.14952, 5.6; 144.10225, 5.2; 121.95803, 4.4; 205.09741, 4.3; 203.11858, 4.2; 162.11227, 4.1; 192.68169, 4; 203.12892, 3.8; 161.83984, 3.5; 115.19672, 3.5; 82.40207, 3.4; 85.02893, 3.4; 58.67105, 3.4; 204.13965, 3.4; 196.815, 3; 51.66341, 3; 66.44548, 3; 58.06596, 2.8; 169.97543, 2.8; 162.19458, 2.7; 50.91919, 2.7","145.04966, 100; 204.12322, 52.7; 60.08157, 28.2; 205.1265, 13.2; 146.05296, 12.2; 85.02911, 5.6; 58.06594, 4.9; 162.11263, 4.5; 206.06712, 3.9; 144.10197, 3.9; 59.07374, 2.7; 219.14609, 2.7; 57.03436, 2.5; 164.1012, 1.8; 219.1331, 1.2; 55.01869, 1.1; 204.14915, 1.1; 204.11288, 1.1; 61.08496, 1; 205.10892, 0.9; 223.79305, 0.8; 223.80704, 0.8; 205.14398, 0.7; 204.13937, 0.6; 149.28436, 0.6; 83.14, 0.6; 203.12801, 0.6","145.04961, 100; 204.12315, 54; 60.08155, 27.9; 146.04964, 15.1; 205.12666, 11.7; 85.02906, 9; 162.11243, 6.2; 144.10217, 5.9; 58.06597, 4.8; 219.32967, 4.1; 57.03425, 3.4; 59.07378, 3; 55.01865, 2.1; 206.06743, 2.1; 205.10908, 1.9; 61.08496, 1.6; 204.15013, 0.9; 223.78909, 0.9; 204.11295, 0.8; 223.80133, 0.8; 205.0977, 0.7; 145.05582, 0.7; 145.10524, 0.6; 86.09691, 0.6",3.65328146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I331.1154R11.28_HILICNeg,HILICNeg,8999390.588,206921.1278,9297278.957,331.1153856,676.8722483,NA,4,,,NA,NA,NA,NA,11.28120414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I303.1551R9.17_HILICPos,HILICPos,8996896.763,161987.1921,8403949.733,303.1550828,550.3408699,NA,4,,,NA,NA,NA,NA,9.172347832,NA,NA,I303.1551R9.17,21,I,+,NA,403,303.1550828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I179.024R6.59_HILICPos,HILICPos,8922887.207,832559.2193,16040128.51,179.0240382,395.6276755,NA,4,,,"156.00803, 100; 179.00478, 96.8; 179.02387, 49.4; 178.12269, 40; 56.96557, 15.7; 119.04938, 13.5; 179.06375, 13.4; 58.06589, 11.4; 179.11781, 11.2; 137.0459, 10.4; 97.99181, 10.4; 179.12641, 8.9; 179.15426, 7; 119.9916, 7; 178.13326, 5.2; 137.08212, 5.2; 178.15904, 5.1; 179.09276, 4.5; 160.99423, 2.1; 179.0805, 1.9; 178.10896, 1.7; 180.00845, 1.7; 178.0865, 1.4; 180.1022, 1.3; 166.00352, 1.2; 115.96418, 1.1; 180.02767, 1; 137.99748, 0.9; 116.00216, 0.9; 136.99411, 0.7; 138.04918, 0.7; 120.05247, 0.6; 178.09749, 0.6","156.00814, 100; 179.00494, 58.6; 179.02404, 48.8; 178.12277, 39.7; 56.96561, 27.3; 119.04945, 16.5; 179.06388, 16.5; 97.9919, 13.8; 58.06597, 10.9; 137.04593, 9.4; 179.11789, 8.9; 179.12657, 7.4; 178.13381, 7.1; 179.15433, 6.2; 119.99175, 4.4; 179.09269, 4.2; 178.15907, 3.3; 137.08215, 2.4; 180.10205, 2.1; 91.0548, 2; 115.96446, 1.7; 116.00207, 1.4; 115.01176, 1.4; 137.99761, 1.2; 178.08672, 1.2; 179.0812, 0.9; 139.01798, 0.9; 178.0974, 0.7; 138.04924, 0.6; 166.00365, 0.6","156.00803, 100; 179.02394, 37.3; 179.00484, 34.7; 178.12261, 23.9; 115.01177, 16.8; 119.04947, 9.1; 58.06588, 7.5; 179.11776, 7; 138.02757, 5.3; 179.12665, 5.2; 97.00138, 4.9; 179.06391, 4.9; 178.13369, 4.8; 179.15423, 4.6; 56.96556, 4; 133.02209, 4; 119.99165, 2.6; 97.99174, 2.5; 137.04587, 2.2; 179.09266, 1.9; 180.10189, 1.6; 137.99771, 1.5; 178.15904, 1.1; 166.00355, 0.9; 157.0114, 0.8; 179.08067, 0.8; 91.05476, 0.7; 115.96464, 0.6; 178.09724, 0.6; 160.99429, 0.6; 178.08627, 0.6","156.00812, 100; 179.02402, 33.9; 179.00487, 26.4; 178.12277, 21.6; 115.01181, 16.9; 119.0495, 8.4; 58.0659, 6.5; 179.06375, 6.4; 138.02763, 5.9; 179.11781, 5.7; 179.1544, 4.6; 179.12643, 4; 133.0221, 3.8; 178.13356, 3.6; 97.00138, 3.4; 119.99165, 2.9; 137.0459, 2.1; 56.96559, 1.7; 179.0054, 1.7; 166.00391, 1.2; 178.15902, 1.2; 97.9918, 1.1; 180.10217, 1.1; 115.9643, 1; 157.0116, 1; 137.99785, 1; 178.09796, 0.9; 178.10879, 0.7; 178.08594, 0.6; 109.0763, 0.6",6.593794591,NA,NA,I179.024R6.59,31,I,+,NA,149,179.0240382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I376.9346R7.43_HILICNeg,HILICNeg,8849172.34,49285.90963,11367768.45,376.9345616,445.9692758,NA,4,,,NA,NA,NA,NA,7.432821264,NA,NA,I376.9346R7.43,3219; 3219,M+Cl; I,-; -,341.969; NA,NA; 190,NA; 376.934561630266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I244.0929R7.89_HILICPos,HILICPos,8782605.336,295708.3238,13560569.47,244.0929068,473.30573,Cytidine gamma-Glutamyl-beta-cyanoalanine,3,,,NA,NA,NA,NA,7.888428833,NA,NA,I244.0929R7.89,32; 32,M+H; I,+; +,243.085; NA,NA; 295,NA; 244.092906764214,NA,NA,NA,cpd:C00475; cpd:C02961; cpd:C05711,1.797819539,Cytidine gamma-Glutamyl-beta-cyanoalanine,NA,NA,NA,NA
I155.0815R6.1_HILICPos,HILICPos,8596474.975,2524714.642,15118198.59,155.0815301,365.9148993,NA,4,,,"155.08147, 100; 155.11784, 6.4; 113.10755, 5.3; 156.07997, 3.9; 95.06078, 3.4; 114.09163, 2.7; 154.09766, 2.6; 58.06581, 2.3; 156.10199, 2.3; 155.15423, 2.2; 156.13816, 1.8; 137.10744, 1.3; 137.07095, 1.1; 154.04456, 1.1; 70.06576, 1.1; 156.11312, 0.9; 155.09271, 0.9; 112.08728, 0.9; 111.09211, 0.9; 156.08513, 0.7","155.08158, 100; 155.11785, 7; 156.08511, 3; 154.04436, 2.5; 58.06586, 2.3; 137.10741, 2; 154.09766, 1.9; 95.06093, 1.7; 114.09167, 1.7; 137.07108, 1.3; 156.10209, 1.2; 113.10759, 0.9; 156.13859, 0.9; 155.15426, 0.8; 111.09203, 0.6; 120.33776, 0.6","155.08153, 100; 155.11786, 5.5; 156.08186, 3; 95.0608, 2.2; 114.09163, 2.1; 156.10194, 1.8; 137.10726, 1.4; 137.07099, 1.3; 154.04456, 1.2; 111.09207, 1; 154.09788, 1; 155.15421, 0.8; 58.06585, 0.7; 154.05287, 0.6","155.08148, 100; 156.08146, 3.7; 155.11765, 3; 154.09749, 1.5; 155.15422, 1.5; 95.06081, 1.3; 137.10733, 1.2; 156.10173, 0.7; 114.09155, 0.7; 111.09198, 0.7; 137.07095, 0.6; 154.04469, 0.6",6.098581656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I207.1704R6.56_HILICPos,HILICPos,8409358.03,510053.8702,15202604.23,207.1704487,393.7229648,NA,4,,,"132.10201, 100; 115.96436, 81.8; 206.13882, 30.9; 156.99075, 19.6; 133.9747, 15; 207.1852, 11; 165.11369, 9.1; 166.08418, 9.1; 207.14218, 7.6; 184.00186, 7.5; 207.1129, 4.9; 60.0816, 3.3; 165.99084, 3.1; 207.12384, 3.1; 208.16965, 3; 223.78346, 2.9; 166.09769, 2.6; 149.06012, 2.3; 119.07069, 2.3; 207.16025, 2.3; 76.07633, 2.2; 87.04476, 2.2; 148.08676, 2.1; 207.01768, 2.1; 96.08121, 2; 89.06025, 1.8; 208.10782, 1.5; 125.95362, 1.5; 130.33066, 1.5; 109.0765, 1.5; 170.85094, 1.5; 69.18803, 1.4; 183.35582, 1.4; 209.86415, 1.4; 120.08082, 1.4; 53.69132, 1.3; 51.67723, 1.3; 68.95938, 1.3; 94.18546, 1.3; 113.86387, 1.2; 69.71021, 1.2","132.10212, 100; 115.96445, 80.8; 206.13881, 56.1; 156.99079, 20.3; 207.1421, 17.8; 133.97482, 14.4; 207.18548, 10.6; 60.08156, 9.2; 165.11381, 6.1; 76.07643, 6.1; 184.00189, 5.6; 165.9913, 5.2; 147.06528, 4.4; 119.07058, 4.4; 207.12426, 4; 87.04478, 3.8; 207.11327, 3.8; 115.03936, 3.2; 206.0757, 3; 220.46321, 2.9; 166.08436, 2.4; 207.16005, 1.9; 207.01774, 1.8; 166.09792, 1.5; 223.82019, 1.3; 148.08707, 1.1; 206.19067, 1.1; 207.07941, 1.1; 125.95406, 1; 206.16568, 0.9; 96.08124, 0.9; 109.07654, 0.9; 58.06595, 0.8; 206.13043, 0.8; 124.08689, 0.8; 83.01354, 0.7; 123.95489, 0.6; 89.06031, 0.6","132.10205, 100; 115.96442, 91.4; 206.13871, 44.3; 133.9747, 18.5; 207.14206, 18.4; 207.1855, 15.4; 156.99074, 14.3; 165.11343, 13.4; 60.08154, 9.3; 184.00179, 8.3; 207.1128, 6.3; 217.87869, 6; 207.12421, 6; 219.11099, 4.5; 119.07047, 4.1; 147.06537, 4.1; 207.01805, 3.6; 217.86575, 3.6; 87.04466, 3.4; 166.09766, 3; 165.99103, 2.9; 219.12407, 2.7; 207.15968, 2.4; 96.08132, 2; 109.07644, 2; 208.09727, 1.9; 208.16929, 1.8; 115.03912, 1.4; 124.08713, 1.3; 70.06593, 1.1; 76.07641, 1.1; 152.49385, 1; 83.061, 1; 148.08693, 0.9; 137.54239, 0.9; 142.97501, 0.9; 207.07863, 0.9; 116.96787, 0.9; 208.14421, 0.9; 59.07386, 0.9; 58.06606, 0.9; 208.10725, 0.9; 148.06822, 0.9; 166.0838, 0.8; 121.18963, 0.8; 89.06023, 0.8; 157.22974, 0.8; 215.42198, 0.8; 133.10518, 0.8; 164.04797, 0.8; 69.46181, 0.8; 216.96698, 0.8; 161.04036, 0.7; 90.33208, 0.7; 152.50157, 0.7; 59.45201, 0.7; 64.74332, 0.7; 83.01342, 0.7; 65.95, 0.7; 108.88197, 0.7; 111.44901, 0.7; 173.25322, 0.7; 139.12332, 0.7; 53.60351, 0.7; 96.71282, 0.6; 72.72732, 0.6; 118.18607, 0.6; 98.38626, 0.6","115.96441, 100; 206.13879, 76.2; 132.10203, 62.3; 133.97477, 19.9; 156.99072, 17.1; 207.14195, 15.2; 60.08153, 14.3; 207.18558, 11.3; 147.06531, 8; 119.07052, 7.2; 165.11362, 6.8; 184.00183, 6.5; 87.04464, 6.1; 165.99123, 5.7; 215.79716, 5.2; 115.03938, 4.4; 207.11314, 3.7; 217.39034, 3.7; 89.06035, 3.5; 207.12402, 3.3; 207.16037, 3.2; 76.0764, 1.6; 83.01334, 1.5; 208.16999, 1.5; 59.0499, 1.4; 166.09732, 1.3; 148.087, 1.3; 207.01768, 1.3; 138.98003, 1; 109.07646, 0.9; 96.08133, 0.9; 220.76375, 0.8; 208.13334, 0.8; 220.77615, 0.7; 124.08699, 0.6; 166.08437, 0.6; 223.80145, 0.6; 88.05244, 0.6",6.562049414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I326.0563R6.58_HILICPos,HILICPos,8286559.448,0,11413180.55,326.0563139,395.0956677,NA,4,,,NA,NA,NA,NA,6.584927795,NA,NA,I326.0563R6.58,31; 31,M+H+NH3; I,+; +,308.021; NA,NA; 439,NA; 326.056313872639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I177.0582R7.98_HILICPos,HILICPos,8238966.654,1939764.306,18554805.41,177.0581547,478.5777459,2-Oxo-6-methylthiohexanoic acid; 2-Oxo-6-methylthiohexanoic acid;,3,,,NA,NA,NA,NA,7.976295764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpd:C17216,2.178848718,2-Oxo-6-methylthiohexanoic acid; 2-Oxo-6-methylthiohexanoic acid;,NA,NA,NA,NA
I252.1093R1.15_CyanoAq,CyanoAq,7976939.842,34809.50265,8498411.367,252.1093007,68.82438779,2'-deoxyadenosine ID:120_36_iTree_POS_06302014_09,2,Deoxyadenosine,1,"136.0619, 100; 117.05503, 4.3; 137.06528, 3.5; 99.04449, 1.9; 80.94857, 1.7; 137.05894, 1.5; 220.65607, 1.1; 82.94556, 1; 71.04988, 0.7; 73.02908, 0.6; 69.03424, 0.6","136.06186, 100; 117.05495, 5.3; 137.06523, 3.3; 99.04459, 1.8; 137.0589, 1.3; 80.94855, 1.2; 217.71262, 1; 73.02911, 0.7; 252.10951, 0.6","80.94852, 100; 82.94575, 33; 228.92473, 23.6; 251.13925, 23; 221.80992, 19.1; 206.87186, 9; 222.88547, 6.6; 104.1077, 6.5; 229.92653, 6; 69.03407, 4.9; 78.40688, 4.5; 252.1086, 4.5; 244.82593, 4.5; 202.99107, 4.4; 130.95937, 4.4; 80.77274, 4.3; 81.16663, 4.3; 113.30795, 4.1; 107.77437, 4.1; 103.48841, 3.9",NA,1.14707313,NA,NA,I252.1093R1.15,67; 67,M+H; I,+; +,251.102; NA,NA; 334,NA; 252.109300742076,NA,NA,NA,cpd:C00559; cpd:C05198; cpd:C08431,1.442062624,Deoxyadenosine; Deoxyadenosine;,"136.0619, 100; 117.05503, 4.3; 137.06528, 3.5; 99.04449, 1.9; 80.94857, 1.7; 137.05894, 1.5; 220.65607, 1.1; 82.94556, 1; 71.04988, 0.7; 73.02908, 0.6; 69.03424, 0.6",2'-deoxyadenosine ID:120_36_iTree_POS_06302014_09,0.733277493,0.927920018
I154.0723R8.97_HILICPos,HILICPos,7964510.757,3708795.736,13152052.6,154.0723038,538.1946704,NA,4,,,NA,NA,NA,NA,8.969911174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I177.0581R9.17_HILICPos,HILICPos,7853418.2,1812243.357,11461780.75,177.0580884,550.1598993,2-Oxo-6-methylthiohexanoic acid; 2-Oxo-6-methylthiohexanoic acid;,3,,,"79.02182, 100; 178.12252, 75.2; 177.05812, 42.7; 178.10772, 40.8; 176.1279, 32.9; 135.04417, 23.6; 176.0919, 19.9; 119.04929, 17; 177.11344, 13.6; 118.08653, 11.1; 57.03427, 9.9; 58.06586, 9.4; 177.10262, 7.8; 60.08149, 5.9; 176.11903, 5.9; 177.07701, 5.3; 99.04457, 4.2; 176.08308, 4; 177.06602, 3.7; 136.07584, 2.4; 117.00071, 2.3; 117.05474, 2.3; 177.13869, 2.2; 178.09901, 2.1; 178.15898, 2.1; 178.13219, 2.1; 136.06186, 2; 178.08662, 1.8; 186.75688, 1.7; 168.82938, 1.7; 95.06063, 1.7; 173.68607, 1.7; 112.40965, 1.7; 131.37885, 1.6; 144.91919, 1.6; 126.85709, 1.6; 151.55351, 1.5; 153.41814, 1.5; 71.94646, 1.5; 136.04764, 1.5; 190.94659, 1.5; 142.78671, 1.5; 77.24772, 1.5; 101.02389, 1.4; 123.42107, 1.4; 153.4109, 1.4; 195.30112, 1.4; 71.21339, 1.4; 103.04891, 1.3; 129.64917, 1.3","79.02187, 100; 178.12267, 47.5; 177.05796, 33; 176.12815, 21.6; 135.04409, 20; 178.10791, 14.5; 119.0494, 13.2; 177.11343, 9.8; 58.06593, 6.7; 57.03423, 6.3; 118.08658, 5.3; 176.09235, 4.8; 60.0815, 4.5; 176.11912, 4.5; 99.04456, 4.4; 177.07677, 3.4; 177.10266, 2.6; 136.04761, 1.6; 178.13196, 1.6; 136.07573, 1.5; 192.89011, 1.4; 119.10633, 1.3; 137.12531, 1.3; 75.78465, 1.3; 136.06136, 1.3; 114.04063, 1.2; 150.1731, 1.2; 73.73631, 1.2; 105.93532, 1.1; 117.90244, 1.1; 154.06206, 1.1; 105.4407, 1.1; 91.99299, 1.1; 88.61379, 1.1; 51.37075, 1.1; 76.91328, 1; 62.22762, 1; 88.03136, 1; 88.53239, 1; 88.73619, 1; 81.91489, 1; 55.10238, 0.9; 54.57672, 0.9","79.02188, 100; 177.05803, 34.6; 178.12262, 29.1; 178.10793, 24.1; 176.12826, 12.4; 118.08662, 10.4; 119.04942, 9.2; 57.03429, 8.5; 176.09217, 5.4; 135.04413, 5.1; 177.11337, 4.4; 99.04461, 4.1; 58.06589, 3.3; 60.08151, 2.9; 176.11954, 2.7; 117.05491, 2.6; 177.0772, 2.2; 149.02341, 1.8; 61.01137, 1.4; 81.03413, 1.3; 177.10243, 1.3; 177.13873, 1.2; 178.13313, 1.1; 91.05479, 0.9; 63.99834, 0.7; 177.06609, 0.7; 136.07573, 0.6","79.02186, 100; 178.12258, 48.3; 177.05814, 33.6; 178.10772, 33.2; 176.12815, 20.5; 119.0494, 16.7; 118.08657, 12.4; 57.03426, 10.2; 135.04413, 10.1; 177.11342, 7.4; 176.09214, 7.2; 58.06591, 5.6; 99.04469, 5.4; 60.08156, 4.5; 177.10239, 3.4; 177.06606, 2.4; 178.13203, 2.3; 117.0551, 2.3; 177.07745, 2.2; 176.11958, 2.2; 177.13152, 1.4; 178.08643, 1.2; 177.13901, 1; 106.478, 0.9; 60.29391, 0.9; 165.33121, 0.8; 61.01139, 0.8; 85.02899, 0.8; 176.08269, 0.8; 163.01236, 0.8; 76.20972, 0.8; 55.37934, 0.8; 91.5582, 0.8; 71.33141, 0.8; 70.41583, 0.7; 50.69853, 0.7; 124.76127, 0.7; 189.45825, 0.7; 123.3315, 0.7; 77.44501, 0.7; 121.34976, 0.7; 149.02361, 0.7; 73.93351, 0.7; 87.57805, 0.7; 66.7435, 0.7; 85.68777, 0.7; 168.98955, 0.7; 50.41957, 0.6; 86.40327, 0.6; 111.94743, 0.6; 100.81847, 0.6; 107.09162, 0.6; 67.81296, 0.6; 110.10178, 0.6",9.169331654,NA,NA,I177.0581R9.17,21,M+Na+NaCOOH,+,86.0846,NA,NA,NA,NA,NA,cpd:C17216,2.553672642,2-Oxo-6-methylthiohexanoic acid; 2-Oxo-6-methylthiohexanoic acid;,NA,NA,NA,NA
I302.0009R7.07_HILICNeg,HILICNeg,7772211.882,653294.9889,12808474.72,302.0008652,424.0783407,NA,4,,,NA,NA,NA,NA,7.067972345,NA,NA,I302.0009R7.07,43; 43,M+Cl+CF3COOH; M-H+CF3COOH,-; -,133.043; 169.02,NA; NA,NA; NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I211.0565R12.12_HILICPos,HILICPos,7621644.014,257568.6442,8781028.522,211.0564697,727.2634504,NA,4,,,"212.09503, 100; 90.09187, 7.3; 123.01121, 3.1; 168.06883, 1.7; 72.08146, 1.7; 142.03503, 1.1; 211.18082, 0.9; 147.00688, 0.8; 193.13368, 0.7; 188.04059, 0.6; 165.0509, 0.6","212.09521, 100; 90.09046, 7.5; 123.01134, 3.8; 164.99139, 2; 72.0815, 2; 147.00706, 1.8; 168.06902, 1.7; 142.03505, 1.6; 219.4991, 1.3; 160.04562, 1.1; 170.03023, 1; 211.05673, 1; 211.18048, 1; 188.04079, 0.9; 165.05125, 0.9; 193.13382, 0.9; 210.15999, 0.9; 163.99478, 0.8; 188.00786, 0.8; 211.14423, 0.6","212.095, 100; 90.09189, 7.6; 142.03493, 3; 123.01116, 2.9; 215.48404, 2.8; 168.06909, 2.1; 160.04552, 1.8; 165.0508, 1.8; 72.08151, 1.7; 188.04048, 1.3; 147.00696, 1.3; 170.02983, 1.2; 211.1804, 1.2; 211.05644, 1; 206.0508, 0.7; 193.16983, 0.7; 146.01038, 0.6; 183.06152, 0.6","212.09503, 100; 90.09188, 7.8; 123.01124, 4; 142.03496, 3.5; 72.08145, 2.2; 165.05099, 2.2; 168.06876, 2.2; 188.04056, 2; 147.00697, 1.8; 211.18042, 1.8; 160.04538, 1.7; 211.05629, 1.4; 170.02982, 1.4; 206.05118, 1; 219.32504, 1; 183.06154, 1; 193.1337, 0.8; 164.99142, 0.7; 193.16962, 0.7; 139.07167, 0.6; 165.01767, 0.6; 124.02458, 0.6",12.12105751,NA,NA,I211.0565R12.12,65; 65,M+H-COCH2; I,+; +,252.067; NA,NA; 219,NA; 211.056469741635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I288.1918R7.18_HILICPos,HILICPos,7564634.112,200616.333,10442772.39,288.1917714,430.7737312,NA,4,,,NA,NA,NA,NA,7.179562187,NA,NA,I288.1918R7.18,1,M+Na+HCOOH,+,219.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I308.1605R5.35_HILICPos,HILICPos,7353186.757,345766.2599,13998109.31,308.1604906,320.9923124,NA,4,,,"138.05501, 100; 171.11302, 30.8; 217.86482, 23.1; 59.06113, 7.5; 94.06558, 4.6; 307.30963, 3.4; 308.14856, 3.1; 303.18887, 3.1; 238.15483, 3; 260.90607, 2.6; 193.13373, 2.6; 307.27426, 2.5; 195.96924, 2.3; 52.71432, 2.3; 192.45183, 2.3; 154.84924, 2.2; 178.40822, 2.2; 227.57614, 2.1; 285.84286, 2.1; 143.60141, 2.1; 97.3558, 1.9; 88.3167, 1.9; 200.26503, 1.9; 57.33349, 1.8; 52.99459, 1.7",NA,NA,"138.05505, 100; 171.11285, 33.9; 216.74683, 16.2; 94.0657, 8; 193.13364, 1.8; 139.05841, 1.6; 307.31137, 1.4; 307.27499, 1.3; 238.1572, 1.3; 312.66544, 1.2; 260.23306, 1.2; 243.37482, 1.2; 128.25543, 1.2; 63.08129, 1.2; 308.17639, 1.2; 71.08627, 1.2; 98.06248, 1.2; 83.68835, 1.1; 205.18098, 1.1; 75.80627, 1.1; 320.60938, 1.1; 205.27432, 1.1; 60.03366, 1.1; 127.00994, 1.1; 57.15532, 1; 257.80161, 1; 82.49402, 1; 69.93657, 1; 75.44203, 1; 59.40716, 0.9; 75.04067, 0.9; 58.07436, 0.9",5.349871874,NA,NA,I308.1605R5.35,8,I,+,NA,407,308.1604906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I455.1888R6.34_HILICPos,HILICPos,7120624.121,0,9801286.094,455.1888225,380.5471089,NA,4,,,NA,NA,NA,NA,6.342451815,NA,NA,I455.1888R6.34,183,M+H,+,454.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
