MassFeature_Column,SampID,std_area,cluster,cluster_letters
I379.083R11.37_HILICNeg_X_HILICNeg,1314_A,0.6664044558494044,1,a
I386.0341R16.12_HILICNeg_X_HILICNeg,1314_A,0,1,a
I387.2256R2.2_HILICNeg_X_HILICNeg,1314_A,0,4,g
I401.241R2.14_HILICNeg_X_HILICNeg,1314_A,0,4,g
I414.1624R0.94_CyanoAq_X_RP,1314_A,0,2,c
I414.1638R9.08_HILICNeg_X_HILICNeg,1314_A,0,2,c
I416.1778R9.11_HILICPos_X_HILICPos,1314_A,0,2,c
I416.178R0.93_CyanoAq_X_RP,1314_A,0,2,c
I429.1257R12.32_HILICNeg_X_HILICNeg,1314_A,0.9908889005555019,2,c
I455.1888R6.34_HILICPos_X_HILICPos,1314_A,0,4,g
I479.1923R4.35_HILICPos_X_HILICPos,1314_A,0.9449943986773388,7,f
I479.7914R1.79_HILICNeg_X_HILICNeg,1314_A,0,4,g
I511.2407R3.6_CyanoAq_X_RP,1314_A,0,4,g
I548.2723R4.91_CyanoAq_X_RP,1314_A,0,4,g
I606.0756R12.98_HILICNeg_X_HILICNeg,1314_A,0,1,a
I801.3309R6.22_CyanoAq_X_RP,1314_A,0,4,g
I802.3342R6.22_CyanoAq_X_RP,1314_A,0,4,g
I84.045R12.12_HILICPos_X_HILICPos,1314_A,0.7549578420099912,1,a
I87.0446R10.14_HILICPos_X_HILICPos,1314_A,0,6,e
I93.0578R5.36_HILICPos_X_HILICPos,1314_A,0,5,d
I96.0449R5.35_HILICPos_X_HILICPos,1314_A,0,4,g
Inosine_X_HILICNeg,1314_A,1,7,f
Isethionic Acid_X_HILICNeg,1314_A,0,5,d
Kynurenine_X_RP,1314_A,0,5,d
L-Pyroglutamic acid_X_HILICNeg,1314_A,0,3,b
Lysine_X_HILICPos,1314_A,0.8521479869060827,1,a
Malic Acid_X_HILICNeg,1314_A,0,5,d
Methionine Sulfoxide_X_HILICPos,1314_A,0,3,b
Methionine_X_HILICPos,1314_A,0.7461569201232057,1,a
N-acetyltaurine_X_HILICNeg,1314_A,0,4,g
N(e)-Acetyl-Lysine_X_HILICPos,1314_A,0,5,d
NAD_X_HILICNeg,1314_A,0,1,a
Ornithine_X_HILICPos,1314_A,0.8211657034552008,3,b
Propionyl-L-carnitine_X_HILICPos,1314_A,0,5,d
Sarcosine_X_HILICPos,1314_A,0,5,d
Serine_X_HILICPos,1314_A,0,1,a
Sucrose_X_HILICNeg,1314_A,0,2,c
Sulfolactic Acid_X_HILICNeg,1314_A,0,4,g
Sulfurol_X_RP,1314_A,0,4,g
Threonine_X_HILICPos,1314_A,0.7962192411575926,1,a
Trehalose_X_HILICNeg,1314_A,0,4,g
Tryptophan_X_RP,1314_A,0.6479571461329526,1,a
Tyrosine_X_HILICPos,1314_A,0,1,a
Uridine_X_HILICNeg,1314_A,0.9035892826718583,1,a
Vitamin B3_X_HILICPos,1314_A,0,6,e
Vitamin B5_X_RP,1314_A,0.7618723828617603,1,a
Adenine_X_HILICPos,1314_B,0.7897835233523975,1,a
Adenosine_X_HILICPos,1314_B,0.8902779036583873,1,a
Adenosyl Homocysteine_X_HILICPos,1314_B,0.6697312595648253,1,a
Adenosyl Methionine_X_HILICPos,1314_B,0.7170261253602875,1,a
Agmatine_X_RP,1314_B,0,2,c
Alanine_X_HILICPos,1314_B,0,3,b
Allopurinol_X_RP,1314_B,0,4,g
Amino Propanesulfonic Acid_X_HILICNeg,1314_B,0,4,g
Argininosuccinic Acid_X_HILICPos,1314_B,0,1,a
Asparagine_X_HILICPos,1314_B,0.8458769481984769,1,a
Aspartic acid_X_HILICPos,1314_B,0.7671647005521874,1,a
beta-Alanine_X_HILICPos,1314_B,0,4,g
beta-Glutamic acid_X_HILICPos,1314_B,0,4,g
Butyryl-L-carnitine_X_HILICPos,1314_B,0,5,d
Carnitine_X_HILICPos,1314_B,0.7169751962315148,3,b
Citrulline_X_HILICPos,1314_B,0,1,a
Creatine_X_HILICPos,1314_B,0,4,g
Cystathionine_X_HILICPos,1314_B,0.9145419527759545,6,e
Cysteic Acid_X_HILICNeg,1314_B,0,1,a
Cytidine_X_HILICNeg,1314_B,0.8980219993900308,6,e
Cytosine_X_HILICPos,1314_B,0.7347231418745563,1,a
Dexpanthenol_X_HILICPos,1314_B,0,4,g
DHPS_X_HILICNeg,1314_B,0.5602282073365882,5,d
DMSP_HILICPos_X_HILICPos,1314_B,0.9662767917603915,1,a
Gluconic Acid_X_HILICNeg,1314_B,0,4,g
Glucosylglycerol_X_HILICPos,1314_B,0,2,c
Glutamine_X_HILICPos,1314_B,0.7527904843397984,1,a
Glutathione Disulfide_X_RP,1314_B,0.7620088499370268,1,a
Glycerophosphocholine_X_HILICPos,1314_B,0.8205815684992364,5,d
Gonyol_X_HILICPos,1314_B,0.9971654072400439,7,f
Histidine_X_HILICPos,1314_B,0,3,b
Homoserine_X_HILICPos,1314_B,0.6891973594772569,1,a
Hypotaurine_X_HILICPos,1314_B,0.9978352974383443,4,g
I102.0549R12.14_HILICNeg_X_HILICNeg,1314_B,0.669525873923939,1,a
I104.1074R10.68_HILICPos_X_HILICPos,1314_B,0.9381456576293897,7,f
I107.0734R9.09_HILICPos_X_HILICPos,1314_B,0.8840714553838084,6,e
I116.0709R8.8_HILICPos_X_HILICPos,1314_B,0.7296476090939537,1,a
I118.0864R7.19_HILICPos_X_HILICPos,1314_B,0,5,d
I120.0811R5.29_HILICPos_X_HILICPos,1314_B,0,1,a
I121.032R8.27_HILICPos_X_HILICPos,1314_B,0.6914115012898805,5,d
I121.0684R10.7_HILICPos_X_HILICPos,1314_B,0.8956285908011459,1,a
I124.0064R10.88_HILICNeg_X_HILICNeg,1314_B,0.8414464878791875,7,f
