MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C1_B,S2C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
I158.0813R7.81_HILICPos_X_HILICPos,0.35664335664335667,0.28873239436619713,0.3214285714285714,0.363013698630137,0.3561643835616438,0.34246575342465757,0.4722222222222222,0.4722222222222222,0.4825174825174825,0.3706293706293706,0.3776223776223776,0.3496503496503497,0.8013698630136986,0.5034013605442177,0.5862068965517242,0.47916666666666663,0.4383561643835616,0.3846153846153846,0.40410958904109584,0.5347222222222222,0.375,0.4620689655172414,0.5957446808510638,0.4178082191780822,0.583941605839416,0.5211267605633803,0.6666666666666667,0.4693877551020408,0.727891156462585,0.726027397260274,0.773972602739726,0.5753424657534247,0.6293706293706294,0.5254237288135593,0.6198347107438016,0.6324786324786325,0.5254237288135593,0.5304347826086957,0.5412844036697247,0.3525179856115108,0.48550724637681164,0.6818181818181819,0.624,0.7346938775510203,0.7094594594594594,0.7905405405405406,0.7328767123287672,0.8027210884353742,0.6137931034482759,0.6027397260273972,0.7172413793103448,0.8137931034482758,0.6301369863013699,0.6666666666666667,0.7074829931972789,0.7602739726027398,0.5342465753424658,0.6438356164383562,0.6095890410958904,0.6363636363636364
I158.1176R5.48_HILICPos_X_HILICPos,0.7482517482517482,0.7535211267605634,0.7642857142857142,0.7397260273972603,0.7465753424657534,0.7602739726027398,0.6666666666666667,0.6527777777777778,0.6783216783216783,0.6993006993006994,0.7272727272727273,0.7692307692307692,0.7397260273972603,0.6054421768707483,0.6275862068965516,0.6041666666666667,0.6506849315068493,0.6083916083916083,0.589041095890411,0.6180555555555556,0.6388888888888888,0.6413793103448275,0.6595744680851063,0.6164383561643836,0.6496350364963503,0.619718309859155,0.6099290780141844,0.6190476190476191,0.8095238095238095,0.6849315068493151,0.7397260273972603,0.6643835616438356,0.6993006993006994,0.2966101694915254,0.4297520661157025,0.41025641025641024,0.4661016949152542,0.35652173913043483,0.5137614678899083,0.3453237410071942,0.4057971014492754,0.4015151515151515,0.41600000000000004,0.6054421768707483,0.7027027027027026,0.7297297297297297,0.6849315068493151,0.7346938775510203,0.5724137931034483,0.5821917808219178,0.6965517241379311,0.7241379310344828,0.7054794520547945,0.7346938775510203,0.727891156462585,0.7534246575342466,0.7191780821917808,0.6506849315068493,0.6506849315068493,0.6503496503496504
I160.037R5.34_HILICPos_X_HILICPos,0.6573426573426573,0.7394366197183099,0.7357142857142858,0.589041095890411,0.5684931506849316,0.5753424657534247,0.6111111111111112,0.6180555555555556,0.6433566433566433,0.7062937062937062,0.6153846153846154,0.6363636363636364,0.815068493150685,0.782312925170068,0.7241379310344828,0.29861111111111116,0.45890410958904104,0.4755244755244755,0.7191780821917808,0.29166666666666663,0.5763888888888888,0.40689655172413797,0.36879432624113473,0.6095890410958904,0.6058394160583942,0.34507042253521125,0.3900709219858156,0.5782312925170068,0.7142857142857143,0.7054794520547945,0.7671232876712328,0.7328767123287672,0.8601398601398601,0.09322033898305082,0.024793388429752095,0.03418803418803418,0.03389830508474578,0.04347826086956519,0,0.19424460431654678,0.18840579710144922,0.15909090909090906,0.05600000000000005,0.7619047619047619,0.8310810810810811,0.8243243243243243,0.7876712328767124,0.7482993197278911,0.6482758620689655,0.636986301369863,0.8,0.7310344827586207,0.8356164383561644,0.6870748299319728,0.7619047619047619,0.6986301369863014,0.6986301369863014,0.6164383561643836,0.6301369863013699,0.5874125874125874
I160.0969R6.82_HILICPos_X_HILICPos,0.3426573426573427,0.30281690140845074,0.26428571428571423,0.4383561643835616,0.410958904109589,0.4452054794520548,0.39583333333333337,0.3819444444444444,0.3706293706293706,0.3426573426573427,0.35664335664335667,0.30069930069930073,0.6506849315068493,0.45578231292517,0.5310344827586206,0.5694444444444444,0.5753424657534247,0.5524475524475525,0.452054794520548,0.5625,0.5972222222222222,0.503448275862069,0.5886524822695036,0.5821917808219178,0.5985401459854014,0.5633802816901409,0.5531914893617021,0.48299319727891155,0.6326530612244898,0.5616438356164384,0.6095890410958904,0.4383561643835616,0.5524475524475525,0.576271186440678,0.628099173553719,0.5299145299145299,0.43220338983050843,0.4956521739130435,0.5229357798165137,0.237410071942446,0.30434782608695654,0.5606060606060606,0.648,0.4693877551020408,0.5405405405405406,0.5878378378378378,0.5547945205479452,0.5986394557823129,0.5241379310344827,0.5205479452054795,0.5862068965517242,0.6551724137931034,0.5821917808219178,0.5442176870748299,0.564625850340136,0.6095890410958904,0.5410958904109588,0.4794520547945206,0.5342465753424658,0.5944055944055944
I160.0969R7.56_HILICPos_X_HILICPos,0.8811188811188811,0.8802816901408451,0.8714285714285714,0.8287671232876712,0.821917808219178,0.8424657534246576,0.8194444444444444,0.8194444444444444,0.8251748251748252,0.8811188811188811,0.8601398601398601,0.8391608391608392,0.5136986301369864,0.4217687074829932,0.46896551724137936,0.8263888888888888,0.815068493150685,0.8181818181818181,0.815068493150685,0.8333333333333334,0.8333333333333334,0.8482758620689655,0.8794326241134752,0.8082191780821918,0.8102189781021898,0.8309859154929577,0.7801418439716312,0.7551020408163265,0.6054421768707483,0.5547945205479452,0.6027397260273972,0.6301369863013699,0.6783216783216783,0.5169491525423728,0.5041322314049587,0.5982905982905983,0.5338983050847458,0.5043478260869565,0.4678899082568807,0.3309352517985612,0.37681159420289856,0.48484848484848486,0.544,0.44217687074829937,0.46621621621621623,0.5337837837837838,0.5,0.5510204081632653,0.5103448275862069,0.5342465753424658,0.48275862068965514,0.5586206896551724,0.43150684931506844,0.48299319727891155,0.4013605442176871,0.5684931506849316,0.3972602739726028,0.40410958904109584,0.4931506849315068,0.5594405594405594
I160.0969R8.37_HILICPos_X_HILICPos,0.8881118881118881,0.8873239436619719,0.8857142857142857,0.8493150684931507,0.8424657534246576,0.8493150684931507,0.875,0.8680555555555556,0.8881118881118881,0.8881118881118881,0.8951048951048951,0.8741258741258742,0.8561643835616438,0.7687074829931972,0.8,0.9097222222222222,0.910958904109589,0.8881118881118881,0.8698630136986302,0.8888888888888888,0.9097222222222222,0.9172413793103449,0.9148936170212766,0.9178082191780822,0.9197080291970803,0.9084507042253521,0.9078014184397163,0.9115646258503401,0.8367346938775511,0.8561643835616438,0.8698630136986302,0.904109589041096,0.9090909090909091,0.8220338983050848,0.859504132231405,0.8205128205128205,0.8050847457627118,0.817391304347826,0.7981651376146789,0.7769784172661871,0.8478260869565217,0.8787878787878788,0.88,0.8775510204081632,0.8716216216216216,0.8648648648648649,0.863013698630137,0.8775510204081632,0.7724137931034483,0.773972602739726,0.8413793103448276,0.8275862068965517,0.815068493150685,0.8027210884353742,0.7959183673469388,0.8424657534246576,0.7876712328767124,0.8356164383561644,0.8424657534246576,0.7902097902097902
I161.0631R9.25_HILICPos_X_HILICPos,0.4055944055944056,0.4154929577464789,0.4214285714285714,0.37671232876712324,0.3972602739726028,0.410958904109589,0.45833333333333337,0.45138888888888884,0.46153846153846156,0.5034965034965035,0.5384615384615384,0.5174825174825175,0.29452054794520544,0.9251700680272109,0.9103448275862069,0.7013888888888888,0.6986301369863014,0.5734265734265734,0.5410958904109588,0.5833333333333333,0.5902777777777778,0.5655172413793104,0.624113475177305,0.7671232876712328,0.7226277372262774,0.7746478873239436,0.7304964539007093,0.782312925170068,0.8707482993197279,0.8698630136986302,0.863013698630137,0.821917808219178,0.8041958041958042,0.10169491525423724,0.1652892561983471,0.05982905982905984,0.025423728813559365,0.034782608695652195,0.02752293577981646,0.5611510791366907,0.3913043478260869,0.13636363636363635,0.09599999999999997,0.34013605442176875,0.43243243243243246,0.3716216216216216,0.36986301369863017,0.3945578231292517,0.9103448275862069,0.9246575342465754,0.8137931034482758,0.7793103448275862,0.8082191780821918,0.8163265306122449,0.8163265306122449,0.8493150684931507,0.8835616438356164,0.8904109589041096,0.910958904109589,0.9090909090909091
I162.0776R1.13_CyanoAq_X_RP,0.5454545454545454,0.5061728395061729,0.524390243902439,0.36363636363636365,0.48888888888888893,0.3522727272727273,0.6847826086956521,0.7555555555555555,0.6629213483146068,0.5529411764705883,0.6043956043956045,0.7010309278350515,0.7684210526315789,0.7,0.7373737373737373,0.7391304347826086,0.7176470588235294,0.6941176470588235,0.6746987951807228,0.5376344086021505,0.6931818181818181,0.5425531914893618,0.4383561643835616,0.47058823529411764,0.7349397590361446,0.6263736263736264,0.5697674418604651,0.6097560975609756,0.8105263157894737,0.8155339805825242,0.8316831683168316,0.7184466019417476,0.7128712871287128,0.8148148148148149,0.7241379310344828,0.7962962962962963,0.6274509803921569,0.5789473684210527,0.6938775510204082,0.7282608695652174,0.7777777777777778,0.7391304347826086,0.7741935483870968,0.8125,0.7291666666666667,0.84375,0.8041237113402062,0.8210526315789474,0.8058252427184466,0.7843137254901961,0.7623762376237624,0.8415841584158416,0.5612244897959184,0.78,0.6526315789473685,0.8484848484848485,0.7722772277227723,0.7821782178217822,0.7448979591836735,0.8514851485148515
I162.1125R6.83_HILICPos_X_HILICPos,0.7552447552447552,0.7605633802816901,0.7285714285714286,0.7602739726027398,0.7602739726027398,0.7876712328767124,0.7847222222222222,0.7777777777777778,0.7762237762237763,0.7832167832167832,0.8111888111888113,0.7972027972027972,0.7191780821917808,0.41496598639455784,0.45517241379310347,0.8125,0.8287671232876712,0.8461538461538461,0.9383561643835616,0.7916666666666666,0.8055555555555556,0.896551724137931,0.8723404255319149,0.8767123287671232,0.7956204379562044,0.795774647887324,0.8368794326241135,0.7959183673469388,0.7482993197278911,0.595890410958904,0.6232876712328768,0.6506849315068493,0.7342657342657343,0.4491525423728814,0.5950413223140496,0.6581196581196581,0.6355932203389831,0.5565217391304348,0.6697247706422018,0.4316546762589928,0.4130434782608695,0.6666666666666667,0.536,0.6938775510204082,0.5878378378378378,0.6013513513513513,0.6095890410958904,0.6734693877551021,0.5379310344827586,0.5410958904109588,0.6,0.6413793103448275,0.40410958904109584,0.36734693877551017,0.3945578231292517,0.5136986301369864,0.43150684931506844,0.3835616438356164,0.36986301369863017,0.42657342657342656
I162.1125R8.11_HILICPos_X_HILICPos,0.8951048951048951,0.8943661971830986,0.8928571428571429,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9236111111111112,0.9166666666666666,0.9300699300699301,0.9090909090909091,0.916083916083916,0.9020979020979021,0.9246575342465754,0.9319727891156463,0.9517241379310345,0.9375,0.9315068493150684,0.9300699300699301,0.9589041095890412,0.9305555555555556,0.9305555555555556,0.9517241379310345,0.950354609929078,0.9452054794520548,0.9416058394160584,0.9436619718309859,0.9432624113475178,0.9455782312925171,0.9523809523809523,0.9383561643835616,0.9452054794520548,0.9452054794520548,0.9440559440559441,0.864406779661017,0.9173553719008265,0.8888888888888888,0.8559322033898304,0.8434782608695652,0.8532110091743119,0.8776978417266187,0.8985507246376812,0.9015151515151515,0.896,0.9319727891156463,0.9391891891891891,0.9256756756756757,0.9383561643835616,0.9319727891156463,0.9724137931034482,0.9726027397260274,0.9586206896551724,0.9655172413793104,0.952054794520548,0.9523809523809523,0.9523809523809523,0.9589041095890412,0.9589041095890412,0.9589041095890412,0.9657534246575342,0.972027972027972
I165.0581R8.33_HILICPos_X_HILICPos,0.7202797202797202,0.7183098591549295,0.7,0.8835616438356164,0.904109589041096,0.910958904109589,0.8680555555555556,0.8611111111111112,0.8601398601398601,0.8461538461538461,0.8811188811188811,0.8601398601398601,0.726027397260274,0.8843537414965986,0.8896551724137931,0.8888888888888888,0.9178082191780822,0.8741258741258742,0.863013698630137,0.875,0.8888888888888888,0.8896551724137931,0.9219858156028369,0.9315068493150684,0.9051094890510949,0.9154929577464789,0.9361702127659575,0.9387755102040817,0.9047619047619048,0.9246575342465754,0.9246575342465754,0.863013698630137,0.8811188811188811,0.6949152542372881,0.5454545454545454,0.3418803418803419,0.4915254237288136,0.22608695652173916,0.22018348623853212,0.6906474820143884,0.644927536231884,0.40909090909090906,0.704,0.8027210884353742,0.7364864864864865,0.722972972972973,0.7671232876712328,0.7551020408163265,0.8827586206896552,0.8835616438356164,0.7655172413793103,0.7724137931034483,0.7602739726027398,0.7619047619047619,0.7142857142857143,0.7876712328767124,0.7534246575342466,0.8082191780821918,0.8767123287671232,0.8741258741258742
