MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C1_B,S2C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
I143.0816R7.97_HILICPos_X_HILICPos,243685808,177165456,245955744,151938480,173260512,117857904,130611568,146973280,125706032,169962032,169070000,204395072,430139648,321759776,747026112,450367072,463060672,1965250688,623166784,2253037312,258095840,204213648,82961736,363616160,117529144,454412416,128197424,181461280,432362144,371000928,343538240,342492480,361911616,104481888,136975424,76840560,111008912,65915288,46791716,2092876544,1493973632,166261312,145529152,427371200,288294144,557027072,229131248,356841632,515630400,831830208,190616816,321542912,232352048,598661376,380276704,495371744,468861344,580785920,436616704,335944064
I144.1019R6.44_HILICPos_X_HILICPos,391766048,304234912,289680992,2374364416,2472005632,2287836928,787719808,840527360,740400000,644978048,678635712,876206336,319007840,248587696,264161904,424880768,395254848,382580384,373336896,416417472,578420672,412661760,337363168,424078560,295042656,454752128,327980640,381180448,305469472,322760992,344181696,318435392,359423104,33382682,49934604,32174346,32446364,54591036,12211958,276795648,307898048,188138496,50297464,341318560,356018592,373891360,435694272,374509600,393861536,523403072,287021440,273832096,383454400,398419936,284504800,368570176,343930912,309186272,369618752,228796928
I145.0608R10.18_HILICPos_X_HILICPos,2812348,1575094,2060678,4268345,3981828,2614462,1617963,2281098,1513649,4925520,1240661,1604617,10967557,25749340,17029772,4788140,3274463,4139585,5027676,6539115,2437603,2656332,3503273,1249909,1894511,5898130,1723886,950495,11164809,25514330,19962566,17637124,8967883,524114,2192321,664950,351620,1080079,211973,232432736,78435208,2791531,988572,35996028,48717808,5601606,113879256,66529608,28187800,69239600,33753064,22943980,45663732,47073228,31393516,17155368,24023376,39586136,11217572,3401623
I146.045R12.11_HILICNeg_X_HILICNeg,195617392,97601848,116530528,464086496,525408320,361953888,245200208,332049856,271948128,261667376,263412128,406904864,94517440,140009568,121099720,71258448,75486936,102958144,70186448,85470384,62713108,56705772,55141732,50298540,43274128,52817380,57659528,97103736,146909984,149012864,136548576,163449056,83219176,15513088,8679916,5956783,5075764,11981358,4158241,158998032,145497376,19947336,8806313,98836928,170975936,81818520,126933344,94742120,217327376,322032128,251828048,149197392,254643408,174385504,101464856,129020880,180484496,161156256,234601696,113283160
I146.0601R1.92_CyanoAq_X_RP,520404,463985,606490,864362,858268,866027,365338,551319,487525,747225,635278,1009582,105192,369283,243473,80456,149945,190859,426428,161930,235281,159613,80733,102973,35165,87232,70700,142300,83210,103698,93021,189533,144118,68671,97037,60611,179410,92347,55312,2125177,1214042,590330,175296,220645,266344,155220,173663,148043,225042,292895,199429,138250,548587,431372,525121,158185,238009,374737,188636,112019
I148.0605R12.12_HILICPos_X_HILICPos,186497632,97008856,115256096,462685024,652897344,423486208,234068896,379371136,306853280,229083248,272465696,435928128,98549792,169400144,125710472,85933536,86569472,129588264,83540408,73570136,85012904,62165108,54297112,59024600,46658896,52547808,57292428,121475960,172405168,191932032,141918576,197647376,82468264,56973032,17740838,12462649,10172288,44717168,10628732,464287712,404850144,44187996,18752740,112565768,168962608,98697872,140807104,100959272,270908320,394467072,328646368,169644240,301812832,223532528,99021640,140963472,235723248,183123584,247088848,135015744
I148.0968R8.21_HILICPos_X_HILICPos,222051248,165871584,188284224,420904480,469856192,362972416,226799360,274784320,252617152,231132208,285692416,357403776,133428000,193557248,214289056,245064064,246880320,218404992,395358944,291310880,247917776,362404960,171423296,327564768,171134128,230061312,188909872,193581872,308212608,308405984,316078464,230776288,246947616,18932828,25149618,17239338,14482711,17759672,7428280,235663840,193748896,65712768,36247156,196098928,133503312,130942168,149261632,134666976,327559904,469762304,176585360,175438944,157326512,220174768,186653232,184826016,132898784,309133792,239994304,121865552
I148.9235R3.57_HILICNeg_X_HILICNeg,2654358,3265145,3151216,0,1499817,1408410,2841218,3513251,4113654,1336766,4044676,3782865,3076848,0,679458,131855,183584,83725,360855,180192,1011324,2932598,421432,4709106,2466684,523561,624470,1560686,3634713,288747,182609,276861,2381625,0,0,0,0,0,0,0,3510966,0,0,1379828,0,2222905,522091,84100,821065,629343,1692399,2066728,78732,993304,670003,757731,1505055,434073,497164,911603
I149.0631R10.15_HILICPos_X_HILICPos,550225,72603,149696,10024106,6683842,5531427,2727465,2156594,2033760,10554205,3966968,2894234,1738513,148383776,131371592,19279924,27486796,13412239,8302343,11408246,10084895,12677940,8528643,52456732,12966930,32557926,25899880,69433552,120277104,114935984,91560040,69043200,56081408,21243,474297,125098,142787,138162,0,31271020,6097914,448524,111337,2812627,4735730,3326641,3775819,2481597,200233088,343922016,47262612,34519972,38178832,36481700,16337617,10093771,33609248,63477664,114926824,67843824
I150.0413R8.14_HILICNeg_X_HILICNeg,170518048,74782568,72869600,159402128,156605312,92753344,180413568,190926528,197668752,124024896,108948200,111851136,10590803,34294612,34015504,55258824,40240484,26430954,35247448,34862784,38264144,51438036,36060204,40481660,44067436,40836360,29905948,31760660,56787524,58448260,48538096,36449248,35828188,7218476,6236400,7077812,5734853,5102494,3109778,51161120,33620140,15810833,8239249,12215763,9265918,12570085,15237924,10978425,52438880,51885920,19136918,20886872,14733100,19701186,20015082,24988936,19851012,25361870,22430552,20413032
