MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
I241.0297R0.89_CyanoAq_X_RP,0,0,0,0,0.23076923076923073,0.18181818181818177,0,0,0,0,0,0.2705882352941177,0,0.09999999999999998,0.1123595505617978,0.6219512195121951,0.5921052631578947,0.43999999999999995,0.21621621621621623,0.40963855421686746,0.540983606557377,0.8767123287671232,0.6944444444444444,0.8481012658227848,0.8648648648648649,0.8450704225352113,0,0,0,0.6043956043956045,0.5730337078651686,0,0,0,0,0,0,0.8518518518518519,0.7721518987341772,0.847457627118644,0.7547169811320755,0,0,0,0,0,0.1428571428571429,0.08791208791208793,0.1777777777777778,0.24444444444444446,0,0,0,0,0,0,0,0
I243.1715R1.84_HILICNeg_X_HILICNeg,0.52,0.6458333333333333,0.6730769230769231,0.6212121212121212,0.6376811594202898,0.6376811594202898,0.5,0.4918032786885246,0.5483870967741935,0.49090909090909096,0.5087719298245614,0.6271186440677966,0.3384615384615385,0.5396825396825398,0.5942028985507246,0.3835616438356164,0.41666666666666663,0.4714285714285714,0.589041095890411,0.5675675675675675,0.3384615384615385,0.14754098360655743,0.295774647887324,0.36111111111111116,0.31081081081081086,0.234375,0.32835820895522383,0.4545454545454546,0.36764705882352944,0.49275362318840576,0.4657534246575342,0,0,0.08333333333333337,0,0,0.19999999999999996,0.5,0.5581395348837209,0.09090909090909094,0.36,0.5441176470588236,0.31666666666666665,0.4545454545454546,0.42028985507246375,0.4029850746268657,0.4,0.4225352112676056,0.31666666666666665,0.34285714285714286,0.5483870967741935,0.582089552238806,0.6515151515151515,0.49230769230769234,0.484375,0.6086956521739131,0.5671641791044777,0.5846153846153845
I244.0495R6.68_HILICNeg_X_HILICNeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3015873015873016,0.33333333333333337,0.0273972602739726,0.29166666666666663,0.05714285714285716,0.04109589041095896,0.09459459459459463,0,0,0.05633802816901412,0.04166666666666663,0.013513513513513487,0,0.23880597014925375,0.12121212121212122,0.19117647058823528,0.10144927536231885,0.0547945205479452,0,0,0,0,0,0,0.045454545454545414,0.046511627906976716,0,0,0.02941176470588236,0.1166666666666667,0.16666666666666663,0.04347826086956519,0,0.4571428571428572,0.43661971830985913,0,0.12857142857142856,0.09677419354838712,0.07462686567164178,0.12121212121212122,0.12307692307692308,0.171875,0.21739130434782605,0.23880597014925375,0.32307692307692304
I244.0828R9.94_HILICNeg_X_HILICNeg,0,0,0,0.9090909090909091,0.9130434782608696,0.9130434782608696,0,0,0,0,0,0,0.8615384615384616,0.9047619047619048,0.8840579710144928,0.9315068493150684,0.9305555555555556,0.8857142857142857,0.863013698630137,0.8918918918918919,0.8615384615384616,0.9016393442622951,0.8169014084507042,0.8888888888888888,0.9324324324324325,0.9375,0.9104477611940298,0.8939393939393939,0.9117647058823529,0.8985507246376812,0.8082191780821918,0.33333333333333337,0.4,0.25,0,0.3529411764705882,0.30000000000000004,0.8636363636363636,0.813953488372093,0.5454545454545454,0.48,0.8823529411764706,0.9166666666666666,0.9090909090909091,0.9130434782608696,0.9253731343283582,0.9142857142857143,0.9014084507042254,0.85,0.8428571428571429,0.8709677419354839,0.8507462686567164,0.8484848484848485,0.8461538461538461,0.859375,0.7971014492753623,0.8656716417910448,0.8153846153846154
I244.0929R7.89_HILICPos_X_HILICPos,0.4375,0.39860139860139865,0.3928571428571429,0.5238095238095238,0.4965986394557823,0.4965986394557823,0.46896551724137936,0.48611111111111116,0.47916666666666663,0.48611111111111116,0.45138888888888884,0.4375,0.435374149659864,0.5202702702702703,0.564625850340136,0.48630136986301364,0.45945945945945943,0.5793103448275863,0.6216216216216216,0.5684931506849316,0.4195804195804196,0.40410958904109584,0.38848920863309355,0.4097222222222222,0.30281690140845074,0.41891891891891897,0.3221476510067114,0.42567567567567566,0.18918918918918914,0.43243243243243246,0.43448275862068964,0.31666666666666665,0.33333333333333337,0.39495798319327735,0.6134453781512605,0.4700854700854701,0.3423423423423423,0.4388489208633094,0.4782608695652174,0.39097744360902253,0.3571428571428571,0.3945578231292517,0.41216216216216217,0.44594594594594594,0.3835616438356164,0.33783783783783783,0.2789115646258503,0.37414965986394555,0.44217687074829937,0.47619047619047616,0.37414965986394555,0.5067567567567568,0.43918918918918914,0.2432432432432432,0.31756756756756754,0.44594594594594594,0.29054054054054057,0.35862068965517246
I245.1588R2.3_CyanoAq_X_RP,0.36923076923076925,0.17391304347826086,0.34285714285714286,0.20779220779220775,0.11538461538461542,0.16883116883116878,0.0625,0.0641025641025641,0.33766233766233766,0.26027397260273977,0.379746835443038,0.3294117647058824,0.6144578313253012,0.0444444444444444,0.022471910112359605,0.24390243902439024,0.25,0.21333333333333337,0.14864864864864868,0.12048192771084343,0.4590163934426229,0.23287671232876717,0.4444444444444444,0.1392405063291139,0.14864864864864868,0.15492957746478875,0.2168674698795181,0.0444444444444444,0.0898876404494382,0.06593406593406592,0.1123595505617978,0.8,0.75,0.8636363636363636,0.7380952380952381,0.851063829787234,0.875,0.09876543209876543,0.2911392405063291,0.6610169491525424,0.8867924528301887,0.09411764705882353,0.1428571428571429,0.3214285714285714,0.3058823529411765,0.08333333333333337,0.03296703296703296,0.04395604395604391,0.16666666666666663,0.16666666666666663,0.08045977011494254,0.05555555555555558,0.03488372093023251,0.0898876404494382,0.05555555555555558,0.09999999999999998,0.0561797752808989,0.1685393258426966
I245.1861R2.33_CyanoAq_X_RP,0.7384615384615385,0.782608695652174,0.8,0.8571428571428572,0.8461538461538461,0.8311688311688312,0.8375,0.7948717948717949,0.8311688311688312,0.7123287671232876,0.7974683544303798,0.8588235294117648,0.6987951807228916,0.8333333333333334,0.8089887640449438,0.7195121951219512,0.6973684210526316,0.7333333333333334,0.7972972972972973,0.8072289156626506,0.42622950819672134,0.5753424657534247,0.5694444444444444,0.6708860759493671,0.5945945945945945,0.6619718309859155,0.6385542168674698,0.7111111111111111,0.7191011235955056,0.7692307692307692,0.7303370786516854,0.4444444444444444,0.41666666666666663,0.5227272727272727,0.45238095238095233,0.4893617021276596,0.44999999999999996,0.8641975308641976,0.9113924050632911,0.6779661016949152,0.6037735849056604,0.8117647058823529,0.6785714285714286,0.7857142857142857,0.7058823529411764,0.6785714285714286,0.7252747252747253,0.7032967032967032,0.7,0.6555555555555556,0.7816091954022988,0.7777777777777778,0.813953488372093,0.7191011235955056,0.6888888888888889,0.7888888888888889,0.7640449438202247,0.7752808988764045
I245.1862R2.58_CyanoAq_X_RP,0.7076923076923076,0.7536231884057971,0.7857142857142857,0.8051948051948052,0.8205128205128205,0.7922077922077921,0.775,0.7564102564102564,0.7402597402597403,0.6712328767123288,0.7341772151898734,0.8352941176470589,0.6626506024096386,0.7333333333333334,0.752808988764045,0.6463414634146342,0.631578947368421,0.6133333333333333,0.7162162162162162,0.7228915662650602,0.34426229508196726,0.4794520547945206,0.5555555555555556,0.6075949367088608,0.527027027027027,0.5915492957746479,0.5180722891566265,0.6444444444444444,0.6629213483146068,0.7142857142857143,0.6853932584269663,0.37777777777777777,0.375,0.43181818181818177,0.40476190476190477,0.44680851063829785,0.375,0.8395061728395061,0.8481012658227848,0.6101694915254237,0.6603773584905661,0.8,0.6309523809523809,0.75,0.7294117647058824,0.6547619047619048,0.6483516483516483,0.6703296703296704,0.5333333333333333,0.5888888888888889,0.7126436781609196,0.7444444444444445,0.7441860465116279,0.6741573033707865,0.6777777777777778,0.7444444444444445,0.6741573033707865,0.7303370786516854
I248.9764R0.9_CyanoAq_X_RP,0,0,0,0.2597402597402597,0.2692307692307693,0.22077922077922074,0.26249999999999996,0.1282051282051282,0.1428571428571429,0.12328767123287676,0.06329113924050633,0.05882352941176472,0.02409638554216864,0.18888888888888888,0.1685393258426966,0.1707317073170732,0.19736842105263153,0.52,0.43243243243243246,0.4457831325301205,0.180327868852459,0.136986301369863,0.2777777777777778,0.2784810126582279,0.06756756756756754,0,0.6506024096385542,0.6,0.6067415730337078,0.5494505494505495,0.4943820224719101,0,0,0,0,0,0,0.03703703703703709,0.025316455696202556,0,0,0.0117647058823529,0.023809523809523836,0,0,0,0.5054945054945055,0.5054945054945055,0.6,0.6222222222222222,0.5057471264367817,0.4222222222222223,0.3023255813953488,0.1348314606741573,0.4555555555555556,0.23333333333333328,0.5617977528089888,0.5730337078651686
I249.1347R5.35_HILICPos_X_HILICPos,0,0,0,0,0,0,0,0,0,0,0,0,0.38095238095238093,0.3716216216216216,0.29931972789115646,0,0,0,0.14864864864864868,0,0,0.13013698630136983,0,0,0,0,0.38926174496644295,0.29729729729729726,0.30405405405405406,0.4054054054054054,0.37241379310344824,0,0,0,0,0,0,0.12230215827338131,0.09420289855072461,0,0,0.4285714285714286,0.527027027027027,0.43243243243243246,0.4383561643835616,0.31081081081081086,0.2517006802721088,0.19727891156462585,0.3197278911564626,0.217687074829932,0.45578231292517,0.3648648648648649,0.3851351351351351,0.20270270270270274,0.3445945945945946,0.2364864864864865,0.17567567567567566,0.16551724137931034
I252.083R12.11_HILICPos_X_HILICPos,0.5486111111111112,0.6993006993006994,0.6285714285714286,0.4625850340136054,0.4625850340136054,0.5986394557823129,0.5310344827586206,0.5138888888888888,0.5277777777777778,0.5277777777777778,0.6527777777777778,0.6944444444444444,0.6938775510204082,0.5135135135135135,0.6054421768707483,0.5753424657534247,0.5540540540540541,0.5862068965517242,0.5608108108108107,0.6575342465753424,0.6573426573426573,0.4931506849315068,0.6115107913669064,0.6041666666666667,0.6267605633802817,0.5067567567567568,0.6442953020134228,0.6148648648648649,0.6824324324324325,0.4797297297297297,0.6758620689655173,0.008333333333333304,0.31707317073170727,0.3613445378151261,0.3025210084033614,0.008547008547008517,0.25225225225225223,0,0,0.3533834586466166,0.3650793650793651,0.6734693877551021,0.3986486486486487,0.6418918918918919,0.6506849315068493,0.7094594594594594,0.6598639455782314,0.5850340136054422,0.564625850340136,0.7006802721088435,0.4285714285714286,0.5810810810810811,0.6351351351351351,0.7162162162162162,0.5810810810810811,0.6148648648648649,0.6891891891891893,0.6827586206896552
I252.1092R3.46_HILICPos_X_HILICPos,0.6111111111111112,0.5804195804195804,0.5428571428571429,0.6258503401360545,0.5986394557823129,0.6122448979591837,0.6206896551724138,0.6597222222222222,0.6319444444444444,0.5486111111111112,0.5902777777777778,0.625,0.8571428571428572,0.8986486486486487,0.8843537414965986,0.9246575342465754,0.7837837837837838,0.8896551724137931,0.8716216216216216,0.8972602739726028,0.29370629370629375,0.3835616438356164,0.6330935251798562,0.5902777777777778,0.6056338028169015,0.46621621621621623,0.5771812080536913,0.7702702702702703,0.5945945945945945,0.7702702702702703,0.6,0.3916666666666667,0.4552845528455285,0.4957983193277311,0.4453781512605042,0.2991452991452992,0.4504504504504504,0.460431654676259,0.5579710144927537,0.5263157894736843,0.5634920634920635,0.727891156462585,0.8108108108108107,0.8040540540540541,0.7602739726027398,0.8310810810810811,0.5850340136054422,0.6122448979591837,0.6734693877551021,0.6734693877551021,0.7619047619047619,0.777027027027027,0.7972972972972973,0.7364864864864865,0.7364864864864865,0.777027027027027,0.6689189189189189,0.7724137931034483
