MassFeature_Column,SampID,std_area,cluster,latitude,Depth,cluster_letters
Isethionic Acid_X_HILICNeg,S7E41D30_1,0.42531329990861044,2,41.417,30,b
Kynurenine_X_RP,S7E41D30_1,0,1,41.417,30,a
L-Pyroglutamic acid_X_HILICNeg,S7E41D30_1,0.3009936616233375,1,41.417,30,a
Lysine_X_HILICPos,S7E41D30_1,0.45869183295712673,2,41.417,30,b
Malic Acid_X_HILICNeg,S7E41D30_1,0.4445633580267761,1,41.417,30,a
Methionine Sulfoxide_X_HILICPos,S7E41D30_1,0.49524521213585976,1,41.417,30,a
Methionine_X_HILICPos,S7E41D30_1,0.613630723326641,5,41.417,30,d
N-acetyltaurine_X_HILICNeg,S7E41D30_1,0.6850853434533276,5,41.417,30,d
N(e)-Acetyl-Lysine_X_HILICPos,S7E41D30_1,0.028539409372850905,4,41.417,30,g
Ornithine_X_HILICPos,S7E41D30_1,0.4758063369579543,2,41.417,30,b
Propionyl-L-carnitine_X_HILICPos,S7E41D30_1,0.4864453534627778,2,41.417,30,b
Sarcosine_X_HILICPos,S7E41D30_1,0.49190825160661344,2,41.417,30,b
Serine_X_HILICPos,S7E41D30_1,0.48279995978324985,2,41.417,30,b
Sucrose_X_HILICNeg,S7E41D30_1,0.0254792285894481,4,41.417,30,g
Sulfolactic Acid_X_HILICNeg,S7E41D30_1,0.5095384716363291,2,41.417,30,b
Threonine_X_HILICPos,S7E41D30_1,0.6400349914872319,5,41.417,30,d
Thymidine_X_HILICNeg,S7E41D30_1,0.34921377109613494,2,41.417,30,b
Trehalose_X_HILICNeg,S7E41D30_1,0.8943274193627898,7,41.417,30,f
Tryptophan_X_RP,S7E41D30_1,0.43728634767693614,1,41.417,30,a
Tyrosine_X_HILICPos,S7E41D30_1,0.3888633236149216,1,41.417,30,a
Uracil_X_HILICNeg,S7E41D30_1,0.29801803970179525,1,41.417,30,a
Uridine_X_HILICNeg,S7E41D30_1,0.5261330532600142,2,41.417,30,b
Vitamin B3_X_HILICPos,S7E41D30_1,0.5975754704639306,5,41.417,30,d
Vitamin B5_X_RP,S7E41D30_1,0.344632184466832,1,41.417,30,a
Adenine_X_HILICPos,S7E41D40_1,0.2843777428650193,1,41.417,40,a
Adenosine_X_HILICPos,S7E41D40_1,0.2983600140769957,2,41.417,40,b
Adenosyl Homocysteine_X_HILICPos,S7E41D40_1,0.4758426273127659,2,41.417,40,b
Adenosyl Methionine_X_HILICPos,S7E41D40_1,0.2799163170910465,3,41.417,40,c
Agmatine_X_RP,S7E41D40_1,0,4,41.417,40,g
Alanine_X_HILICPos,S7E41D40_1,0.289037074161335,2,41.417,40,b
Allopurinol_X_RP,S7E41D40_1,0.1907187971015101,1,41.417,40,a
