MassFeature_Column,KOK_clusters,MGL_clusters,KM_clusters,Org_clusters,MetaClusterAssignment
I211.0565R12.12_HILICPos_X_HILICPos,a,g,a,a,Core
I214.0388R5.25_HILICNeg_X_HILICNeg,a,NA,a,NA,NA
I214.0484R11.68_HILICNeg_X_HILICNeg,d,b,b,d,NA
I217.93R10.87_HILICNeg_X_HILICNeg,a,g,a,e,NA
I219.1703R6.51_HILICPos_X_HILICPos,a,b,b,NA,NA
I219.9271R10.87_HILICNeg_X_HILICNeg,d,g,a,e,NA
I221.022R10.39_HILICNeg_X_HILICNeg,a,b,c,g,NA
I221.0843R5.26_HILICPos_X_HILICPos,c,a,a,NA,NA
I221.0843R5.58_HILICPos_X_HILICPos,c,f,a,g,NA
I221.0843R8.12_HILICPos_X_HILICPos,c,c,b,g,NA
I221.0844R0.89_CyanoAq_X_RP,c,c,b,g,NA
I225.1607R2.2_HILICNeg_X_HILICNeg,b,a,c,g,NA
I227.1754R2.2_HILICPos_X_HILICPos,b,g,b,g,NA
I228.0979R6.34_HILICPos_X_HILICPos,e,a,a,a,NA
I229.1549R0.89_CyanoAq_X_RP,a,b,a,g,NA
I229.1557R2_HILICNeg_X_HILICNeg,d,d,b,b,NA
I232.0231R10.77_HILICNeg_X_HILICNeg,a,NA,a,c,NA
I232.118R6.16_HILICPos_X_HILICPos,a,f,c,g,NA
I235.1653R7.18_HILICPos_X_HILICPos,a,d,a,d,NA
I236.1492R9.91_HILICPos_X_HILICPos,a,c,c,g,NA
I236.1493R8.23_HILICPos_X_HILICPos,a,d,b,g,NA
I237.1235R1.65_CyanoAq_X_RP,d,d,b,b,NA
I238.0524R11.67_HILICPos_X_HILICPos,a,g,a,g,NA
I239.002R2.89_HILICNeg_X_HILICNeg,g,e,c,NA,NA
I240.1092R0.94_CyanoAq_X_RP,d,e,b,c,NA
I241.0119R13.69_HILICNeg_X_HILICNeg,a,c,b,d,NA
I241.0297R0.89_CyanoAq_X_RP,g,c,b,NA,NA
I243.1715R1.84_HILICNeg_X_HILICNeg,d,d,b,b,NA
I244.0495R6.68_HILICNeg_X_HILICNeg,c,b,NA,NA,NA
I244.0828R9.94_HILICNeg_X_HILICNeg,b,d,c,e,Dino
I244.0929R7.89_HILICPos_X_HILICPos,a,a,a,a,Core
I245.1588R2.3_CyanoAq_X_RP,a,g,a,NA,NA
I245.1861R2.33_CyanoAq_X_RP,d,b,b,b,NA
I245.1862R2.58_CyanoAq_X_RP,d,b,b,b,NA
I248.9764R0.9_CyanoAq_X_RP,a,c,b,NA,NA
I249.1347R5.35_HILICPos_X_HILICPos,a,d,NA,NA,NA
I252.083R12.11_HILICPos_X_HILICPos,a,g,a,a,Core
I252.1092R3.46_HILICPos_X_HILICPos,e,b,a,a,Core
I252.1441R10.53_HILICPos_X_HILICPos,b,c,b,f,NA
I253.9168R1.77_HILICNeg_X_HILICNeg,g,NA,NA,NA,Rare
I260.1131R1.01_CyanoAq_X_RP,b,c,c,e,Dino
I261.1311R1.29_CyanoAq_X_RP,a,g,a,NA,NA
I261.9827R12.12_HILICNeg_X_HILICNeg,a,NA,d,NA,Rare
I263.1426R2.13_CyanoAq_X_RP,d,c,b,d,NA
I267.0726R11.17_HILICNeg_X_HILICNeg,g,NA,a,c,NA
I268.1042R1.29_CyanoAq_X_RP,e,a,a,g,NA
I269.0882R1.02_CyanoAq_X_RP,d,c,a,f,NA
I271.1288R9.7_HILICPos_X_HILICPos,c,d,c,e,Dino
I271.1291R0.87_CyanoAq_X_RP,c,d,c,e,Dino
