"","CTDPRS","CTDTMP","CTDSAL","CTDOXY","CHLPIG","OPTODE","OPTODE","NUMBER","QUALT1"
"330",374,11.305,34.124,200.81,0.0478,-9,-9,1,2222255
"331",375,11.278,34.121,200.48,0.0478,-9,-9,1,2222255
"332",376,11.265,34.121,200,0.0856,-9,-9,1,2222255
"333",377,11.257,34.121,200.49,0.0666,-9,-9,2,2222255
"334",378,11.241,34.12,200.51,0.0856,-9,-9,1,2222255
"335",379,11.204,34.121,200.97,0.0856,-9,-9,1,2222255
"336",380,11.158,34.122,201.47,0.0856,-9,-9,1,2222255
"337",381,11.133,34.121,201.53,0.0856,-9,-9,1,2222255
"338",382,11.108,34.121,201.96,0.0856,-9,-9,1,2222255
"339",383,11.047,34.119,202.67,0.0856,-9,-9,1,2222255
"340",384,10.985,34.123,203.08,0.0856,-9,-9,1,2222255
"341",385,10.907,34.121,202.78,0.0856,-9,-9,2,2222255
"342",386,10.821,34.121,201.96,0.0856,-9,-9,1,2222255
"343",388,10.771,34.118,201.61,0.0856,-9,-9,1,2222255
"344",389,10.75,34.118,201.15,0.0856,-9,-9,1,2222255
"345",390,10.743,34.117,201.04,0.0856,-9,-9,1,2222255
"346",391,10.736,34.116,201.28,0.0666,-9,-9,2,2222255
"347",392,10.722,34.115,201.31,0.0856,-9,-9,1,2222255
"348",393,10.701,34.114,200.91,0.0856,-9,-9,1,2222255
"349",394,10.685,34.113,200.75,0.0856,-9,-9,1,2222255
"350",395,10.654,34.112,200.83,0.0856,-9,-9,1,2222255
"351",396,10.618,34.112,200.73,0.0478,-9,-9,1,2222255
"352",397,10.586,34.111,201.07,0.0478,-9,-9,1,2222255
"353",398,10.538,34.111,201.03,0.0856,-9,-9,1,2222255
"354",399,10.512,34.11,201.02,0.0856,-9,-9,1,2222255
"355",400,10.507,34.109,200.73,0.0856,-9,-9,1,2222255
"356",401,10.504,34.109,200.78,0.0856,-9,-9,1,2222255
"357",402,10.504,34.109,201.17,0.0856,-9,-9,1,2222255
"358",403,10.497,34.108,200.81,0.0856,-9,-9,2,2222255
"359",404,10.496,34.108,200.67,0.0856,-9,-9,1,2222255
"360",405,10.498,34.108,200.97,0.0478,-9,-9,1,2222255
"361",406,10.497,34.108,200.58,0.0856,-9,-9,1,2222255
"362",407,10.494,34.107,201.13,0.0856,-9,-9,1,2222255
"363",408,10.489,34.106,201.22,0.0856,-9,-9,1,2222255
"364",409,10.485,34.104,200.67,0.0856,-9,-9,1,2222255
"365",410,10.477,34.103,200.38,0.0856,-9,-9,1,2222255
"366",411,10.449,34.101,199.64,0.0856,-9,-9,1,2222255
"367",412,10.371,34.098,198.44,0.0856,-9,-9,1,2222255
"368",413,10.306,34.095,197.01,0.0856,-9,-9,1,2222255
"369",414,10.255,34.098,195.08,0.0666,-9,-9,2,2222255
"370",415,10.191,34.102,194.24,0.0856,-9,-9,1,2222255
"371",416,10.152,34.103,193.14,0.0856,-9,-9,1,2222255
"372",417,10.127,34.103,192.69,0.0856,-9,-9,1,2222255
"373",418,10.098,34.105,191.85,0.0856,-9,-9,1,2222255
"374",420,10.058,34.105,190.49,0.0856,-9,-9,1,2222255
"375",421,10.025,34.103,190,0.0856,-9,-9,1,2222255
"376",422,9.95,34.101,188.8,0.0856,-9,-9,2,2222255
"377",423,9.943,34.101,188.4,0.0856,-9,-9,2,2222255
"378",424,9.941,34.1,188.64,0.0856,-9,-9,1,2222255
