Quantified metabolites in all environmental samples, all values in nmol L-1
"","Identification","KM1513-125m_A","KM1513-125m_B","KM1513-125m_C","KM1513-15m_A","KM1513-15m_B","KM1513-15m_C","KM1513-45m_A","KM1513-45m_B","KM1513-45m_C","KM1513-75m_A","KM1513-75m_B","KM1513-75m_C","S11C1_A","S12C1_A","S12C1_B","S13C1_A","S13C1_B","S14C1_A","S14C1_B","S14C1_C","S2C3_A","S4C1_A","S4C1_B","S4C1_C","S4C2_A","S4C2_B","S6C1_A","S6C1_B","S6C1_C","S6C2_A","S6C2_B","S7E41D100_1","S7E41D120_1","S7E41D140_1","S7E41D160_1","S7E41D180_1","S7E41D250_1","S7E41D30_1","S7E41D40_1","S7E41D60_1","S7E41D80_1","S8C1_A","S9C1_A","S9C1_B","S9C2_A","S9C2_B","U3_A","U3_B","U4_A","U4_B","U6_A","U6_B","U7_A","U7_B","U8_A","U8_B","U9_A","U9_B"
"11","Argininosuccinic Acid",6.71867432000142e-05,0.000115604986919528,NA,0.00101612554412897,0.0019887740339612,0.00291357803726014,0.000317317904791459,0.00101796658270611,0.000982536724669666,0.000300721245557005,0.000268080478068054,0.000656125284823907,NA,0.000265976189154393,NA,0.000383561170793976,0.000165352711346926,0.000329129377184967,NA,NA,0.000236303934564729,NA,NA,NA,NA,7.5053912534904e-05,0.00018573400767909,0.0012614041433898,NA,0.000199956033055265,NA,NA,NA,NA,NA,NA,NA,0.0027466960225115,0.00129475169841726,NA,NA,0.00048232748876377,0.000676304863421508,0.000336066840286215,NA,NA,NA,0.000671695602126493,0.000302034817619524,NA,0.00188180259112568,0.000912957547695205,0.000257537843119876,0.000830560824036396,0.00144474046846155,0.0019600239022158,0.00589249133508913,NA
"12","Arsenobetaine",0.0115481978422123,0.0107412871535396,0.0117239553282693,0.00416068931093901,0.00454393702616698,0.00381768237822773,0.00602688650911891,0.00766424678095826,0.00638490885064614,0.00651166418660063,0.00631891681139983,0.00834079612784315,0.00170936598767833,0.00238832036550012,0.00264545940783601,0.0064638719528649,0.00654939857170594,0.00782306888753535,0.00762863286511793,0.00770347733249614,0.00739020466392792,0.00566081773503641,0.00422310798447399,0.00584760701530408,0.0045776347505237,0.00526495137894815,0.00369186807335579,0.00341222199055508,0.00380960186637398,0.00366618648731114,0.00408865125451909,0.00274454682144176,0.00645597076076159,0.00633401910211571,0.00671640572502293,0.00663296480726429,0.00611182789182709,0.00139844090265903,0.00182342988987719,0.00265894585551639,0.00245346286911758,0.00172416405104184,0.00160627249234385,0.00160404073459825,0.00210579424361292,0.00174778938659893,0.00356930651647241,0.0045429864742466,0.00218812850594264,0.00210908031512016,0.00248140406848667,0.00300044502315151,0.00241637241725037,0.00281226222220914,0.00291211748641375,0.00321563141024029,0.00404132055420974,0.00240715720093489
"13","Asparagine",0.0243910499434086,0.0209837921925581,0.0277952526039653,0.0455882511380823,0.0519365117272051,0.0419226904169702,0.0280758527377421,0.0325463907986483,0.0313388933798501,0.0217074862613481,0.028436315605995,0.0455101421034591,0.0443557904749923,0.0920263526674829,0.0700876187246687,0.0362196611767552,0.0618844283394692,0.0774241354086249,0.0664356538964684,0.0441521102685503,0.0377670832212238,0.0491416194907295,0.0241479716449624,0.0358437281935007,0.0186654410667471,0.0508947179673324,0.0686985554974919,0.0744129750041036,0.0430480906680247,0.0602134924096719,0.0351032633646473,0.0214321603169685,0.0265615269427199,0.00186036704974691,0.00798450026658166,0.0264052348688972,0.00275474387658622,0.391898974897982,0.363404711703533,0.0819109396746585,0.0187602203218325,0.080783072488332,0.076177093107641,0.0513120786789827,0.0741345722358834,0.0337611880641354,0.0864073807071233,0.103470727071012,0.0875911982605584,0.0669507986788548,0.098605702833162,0.095039809763142,0.0676005107627243,0.0457477576924946,0.0850841780963175,0.0909305434180129,0.0774254638703646,0.046871306858842
"14","Aspartic acid",0.0777942314725421,0.0472243492172569,0.0653053019808659,0.251230425892373,0.294918310487676,0.206037675148193,0.249783947839734,0.348387671682998,0.269373649549495,0.21104065378156,0.271318538828494,0.403090279103535,0.217305646134592,0.301585191472501,0.381325717572246,0.235849056069826,0.222454613371436,0.39123336918724,0.341007146442847,0.333770406636933,0.257628931058953,0.290149438312391,0.227766381931201,0.179676511218763,0.168210842270972,0.287790479929091,0.338732649618919,0.310233933821023,0.283990709384742,0.409304836837459,0.273119812542368,0.075722242812927,0.0938401352922578,0.0400421048433679,0.0297803917192075,0.0773530728028869,0.0274575489082992,1.13298108212083,1.20311402182551,0.161772441920607,0.0789684202894892,0.360386478286714,0.340231284377909,0.280313647577277,0.379591538119731,0.258467635358307,0.496421726932016,0.771431275441713,0.469521068592201,0.438091537280718,0.503425406360431,0.537611199527034,0.334636330306353,0.340861966384595,0.340515630147007,0.492863884846976,0.527352301771486,0.313713386690065
"15","beta-Alanine",0.018044709497077,0.0147410000538945,0.0194807023952112,0.063550655981146,0.0899551809924786,0.0680117278326485,0.0452165069304869,0.0745129963169398,0.0732323427765223,0.0223255243490628,0.0263292639937724,0.0685737029161209,0.113852866410355,0.101892523552521,0.083099987193045,0.0387677975338527,0.0448857180862074,0.0349332173141029,0.344094498799029,0.0255255638597186,0.038425950802773,0.0536216118019512,0.0179111564291844,0.0289642493908078,0.0204155307753441,0.0405701772176161,0.121915390984976,0.142953417864895,0.0939495625788299,0.0995837689284473,0.0713189778232199,0.0178247036210022,0.343684847220513,0.0412996165674851,0.0514474745416943,0.0361671057137858,0.0311078154073619,0.677760034131579,0.481483167574033,0.119814978415667,0.0578403536778333,0.198741878742631,0.118808536815521,0.0897267300571736,0.460472565269162,0.169065022813366,0.132784710089437,0.181093630252623,0.128560287508422,0.123387744367094,0.166620755979733,0.141534208711461,0.103776507384234,0.0974817234837999,0.155720322433353,0.24713071766717,0.14416864506504,0.109715203513591
"16","Betaine",0.529007302556985,0.459452699537399,0.510871052752319,0.662610572574983,0.702958032499482,0.635708437231474,0.597518910494968,0.669028904021484,0.628970524096612,0.402789117901515,0.446519383941062,0.55809931324281,1.12780158599123,1.51735348628721,1.71871237597453,1.1142375286734,1.02605075910607,1.12045023951704,1.21534438574567,1.37005281568622,0.852744357878786,0.894265391198961,0.669967400657684,1.01732630195475,0.849556687565077,0.903756401215363,1.35463898807944,1.50196932704613,1.50499725653465,1.01872954451018,1.18987910258184,0.738062987443539,1.22125493926139,0.965419369510918,1.36634410527052,2.81490917444515,0.435429649474746,8.81213435251978,8.24155302748008,3.14529829950344,1.35121058482852,1.88032139260344,1.41948341956279,1.62845605107165,1.73507806676107,1.25745694938954,1.38627083993893,1.74200270317043,0.967735056541378,1.1282555091839,1.63139769381776,2.66227328690843,2.54036298569133,1.85189256727958,1.62466267587999,2.10513043370572,2.2210273260498,1.40496939943594
"17","Betonicine",0.00403032926747126,0.00378596018242978,0.00570406565912596,0.0105339864271452,0.01092450520443,0.0113742445402519,0.00592938970843471,0.00559126844255453,0.00589213151416183,0.00401584057326011,0.00635221425848315,0.00714858720718798,0.00945884972319192,0.0125875792347474,0.0110653169478246,0.0241065967271529,0.028445354604876,0.0229228058779513,0.0215873661925441,0.0257788656448466,0.0169604051827036,0.0318483969625249,0.0133789745179802,0.033272649367628,0.0245856784270209,0.027650293406609,0.0119973320625275,0.0143764556712957,0.0191862322733099,0.0192494202992907,0.0219145235375792,0.00434425923031022,0.00683059365960225,0.00431031685763575,0.00447859023282985,0.00512399782366852,0.00174825795571074,0.0736427160220425,0.0802168408179883,0.0357764229074319,0.0100741906765163,0.0185490955758758,0.0107333532891506,0.00908362069788586,0.0142453936722811,0.012705218080808,0.0119763938950642,0.022461943726811,0.00877720238970402,0.00738839067134816,0.0115168918407825,0.0125453688832829,0.0121470508718112,0.0147156505790012,0.0115864741725041,0.0201606130669993,0.0143603435023619,0.00629253690355537
"18","Butyryl-L-carnitine",8.85359852054181e-05,0.00011131912882591,0.000132066798688796,9.76758972261664e-05,9.76657620047307e-05,9.32396909661229e-05,8.99031300822641e-05,9.20946016054743e-05,8.65234921027431e-05,7.0597804299906e-05,8.17244798382245e-05,0.000110018349191735,0.000159941732969192,0.000138360788899767,0.000147783947915664,9.72352101037587e-05,0.000112979952686766,0.000116409860473017,0.000146943023635286,0.000160536617303104,0.000154027942982937,7.2836433026723e-05,6.16742013200957e-05,8.21572213820514e-05,7.52143034928865e-05,9.08965331616633e-05,8.71186213858086e-05,0.000135934953571278,0.00011478125190841,8.66192574408489e-05,0.000104431982775914,NA,0.000119749794309265,NA,NA,NA,NA,0.00144701209703027,0.000770300667378664,0.000180337646614746,NA,0.00027543221239793,0.000102950379271594,0.000122535555231326,0.00018501809780083,0.00011749825496185,0.000141827006885533,0.000180203126630516,0.000271257235386021,0.000240010316580785,0.00017135452594889,0.000372379124210593,0.000275020542797468,0.000112409940957679,0.000117010221663812,0.000212175354288025,0.000134823820771009,7.04858922432438e-05
"19","Carnitine",0.00278369618825654,0.00291155470615979,0.00446696030192852,0.00871396409929702,0.0106641178338285,0.0104821705876426,0.00568520610970842,0.00550322497266917,0.0056241618188562,0.0044923773989075,0.00530498259775416,0.00685711410605379,0.0199072362104385,0.0390758280678071,0.0296940155447993,0.0194114813750333,0.0265859122167351,0.0276462311953992,0.0329095987481989,0.027449862247355,0.0151351550767832,0.0247623794402745,0.0111063889723984,0.0215418670837117,0.0183727290138146,0.027282569570767,0.0245258728096415,0.0257517904741815,0.0269104506727555,0.0234036288003662,0.0203648592478245,0.0095123705196562,0.0467756936581839,0.00896440576774059,0.00837573567627712,0.0100278778790755,0.00571610160983823,0.223334766508776,0.16236412214447,0.0766172892191781,0.0159687244992565,0.0233734688937225,0.0249943338550277,0.0200251233087542,0.0255977712872371,0.0254462974675761,0.0473754366466537,0.0815390279612244,0.0245868384949159,0.018160777150029,0.0327875847933395,0.0418161586326383,0.036617940598288,0.0297227691922007,0.0359851743389969,0.03307056865864,0.0341937294529578,0.0157449497768593
"20","Choline",0.00329372373273275,0.00266811770589742,0.00549194671753721,0.0142362017649198,0.0108697683887481,0.0107228138297602,0.00480650566474593,0.00316341568843473,0.00351290490573849,0.00684561634910253,0.00371334661468105,0.00355759573355895,0.0802303918560711,0.555057110155394,0.366891528028248,0.0521793352427084,0.0753807591434079,0.0905870064825951,0.113918547228803,0.108929970313414,0.0240673330429525,0.0427453381051453,0.0356718069758751,0.0438206724684493,0.0365221215140011,0.0742000356661099,0.0618172035417994,0.0602224767685676,0.0629049775255788,0.102811242765853,0.106515193895931,0.0227002618117664,0.0279369607321093,0.0208643707297925,0.0345350762019778,0.0451880065577697,0.013423746025384,0.785149157240757,0.398671869335747,0.0926352677431741,0.035242921149026,0.0920054196651053,0.0668123531979772,0.0832052403314809,0.0726107957867558,0.0984120097317102,0.102566004943281,0.188556676425557,0.062033079913203,0.0559159519969512,0.136788567426521,0.200692762320881,0.185726795789075,0.0648132080156449,0.134689567669433,0.229282878670198,0.117252025779495,0.103425993079049
"21","Citrulline",0.00685206079490336,0.00606528236314842,0.00767196651850677,0.0243858209854173,0.0469161103740968,0.0384034510873099,0.024251598997735,0.0562644551065765,0.0437209191555245,0.0153641605385575,0.027760705509486,0.0603486961750234,0.0160186175617254,0.0207739424320671,0.0186749662041653,0.0177432608407251,0.0176809595414826,0.0309670704415378,0.0208170668580095,0.0169875060679584,0.0082930956873872,0.017652889001656,0.0111642879828781,0.0157529827080451,0.00687710086417801,0.0113272724691289,0.0181065732588714,0.0237126145932631,0.0198119120775774,0.0308697778710002,0.0179545056526483,0.00981773615382667,0.00270047128933933,0.00185258978722299,0.00214534037288439,0.00529671015567863,0.00314877317845807,0.0827771709248826,0.0212932393785623,0.00492583692834334,0.00510441300213513,0.0123737008051297,0.0217228304412245,0.0129572876515009,0.0175744242208672,0.0132340881304389,0.0247387390258175,0.0259940739458876,0.0228281380054501,0.0153034098342378,0.0443673987328187,0.0301440167683585,0.0148194317581838,0.0317973760029965,0.0436778931278853,0.0362860343812069,0.0485497966355926,0.0345842245109069
"22","Creatine",0.00845460488335708,0.0118825783162774,0.016019244075769,0.0209390854276405,0.0410120793050769,0.0511478565358853,0.020295018202441,0.0304008168895809,0.0261367541191827,0.00841137114805723,0.0163020696291804,0.054891514434912,0.0109619517756405,0.00821845776775934,0.00569178930841367,0.00197171946815276,0.00839658575124829,0.00499695748440693,0.0522782697463917,0.00306663210633344,0.00366373778673651,0.00435799774240738,0.00104603695931605,0.00441520729037267,0.00312164540292206,0.0024387345823296,0.00839944125094835,0.00872386196277642,0.0128180339920304,0.00294358052981376,0.00446965366542997,0.00345883783885936,0.0066738321061797,0.00939249527949385,0.00555303691517607,0.00292330831351724,0.00263402900511773,0.375640558796163,0.047753454793969,0.0950187711970032,0.0562168309504826,0.0176198356785891,0.0048118152282118,0.00800039729167425,0.0212334651267171,0.0152464474819941,0.0103497034941442,0.01230586058867,0.00406795093947778,0.00621382807857147,0.0105943958433305,0.0178132703208081,0.0170203365715273,0.01335195216622,0.00678316523429148,0.0205484380535558,0.0144739968715244,0.00406672369237974
"23","Cystathionine",0.0014699893697129,0.000138785843899903,0.00086895613650925,0.00645021175694587,0.00628466171937245,0.00626122050019657,0.0025084396762113,0.00303216067165046,0.00232512922659079,0.00236448503005379,0.00317935912596918,0.00411322795274162,0.0125071766833985,0.0136056077562595,0.0077101536474843,0.00291210010715446,0.00339993735166017,0.00339687754726112,0.00160544860004016,0.000858353855191499,0.000482789283584862,0.00702752230276162,NA,0.000858682247297109,NA,0.00325593607262232,0.00829522362533675,0.00771281414914492,0.00512023620540531,0.00632202902744333,NA,0.00127360270295907,0.000533022217065147,NA,0.000592416758646519,0.00125632375925753,0.000273984096443307,0.056206798648456,0.0300431211104601,0.0086242962324324,NA,0.0111862133598349,0.0144272643509493,0.00775781977203998,0.051257629972934,0.016148814013759,0.0261898783662726,0.0348942877806936,0.0194831907641117,0.0165631114815668,0.0327157832145424,0.0337763021207586,0.0252112685952329,0.0170705505060568,0.0297389266475618,0.0386772643159223,0.0246453460763827,0.00815244038488937
"24","Cysteic Acid",0.00160897503707092,0.00109208219514498,0.00118282187037542,0.00647228741480111,0.0070874205376187,0.00715577589168082,0.00356897035290595,0.00484639224713056,0.00370239878863687,0.0011270441593066,0.00252551334684322,0.00490050216481598,0.0307422635853446,0.0242842156265914,0.0222562288922364,0.0102805575745262,0.00984390565957095,0.00700726153476905,0.0136744318170239,0.00778435862198843,0.00800466916841905,0.00509218250325157,0.00793557131522909,0.00831773871970452,0.00953572561052391,0.00962304298819716,0.0169573295554793,0.0209029359135531,0.0215707168854796,0.0113569478642185,0.0145079494132937,NA,NA,NA,NA,NA,NA,0.0270394508249158,0.0226395849024406,0.00523780563634599,NA,0.0299321320899927,0.0299972177664546,0.0275327260443302,0.0406502772913328,0.0338671140368915,0.0188122171886016,0.0237368982586204,0.016555324635833,0.0162646520619687,0.023643404645585,0.0341615288544567,0.0282982206408194,0.0251213443930243,0.02451012799453,0.0273039520615737,0.022884725519821,0.0146491507032406
