Kingdom,Phylum,Class,Order,Family,Genus,Species,Consensus,taxon.id
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-22,Dino-Group-II-Clade-22_X,0.9000000,c5baf63bdc4a2834ac634e6e46354f70
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,a7133cd0abc523fffc3dfe5ba3f0ac08
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,Dino-Group-II-Clade-4_X,0.6363636,9e9fc98bae8c256dd6ff309711091f9e
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.9090909,21b1318bb5f28aa36b3475c585ba93b1
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,1.0000000,e2a981243e99efdeaef6af325af9c6dd
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,b9642815f844c5ffec5dc53d55e20a28
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-16,Dino-Group-II-Clade-16_X,0.9090909,661bb1120f831b668a8d3f730eab4365
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,711a7e8f48b4a502b82188877820e73b
Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachnida,Chlorarachnida_X,NA,0.8000000,971ea2c1b773c07051884066249ea905
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,0.5454545,102dccb53f2a4e171805165e78eaeeea
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,0.8181818,43a9e1e5c1f47924ea37b497c6e5065f
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.8181818,e8cee97b7788c0884d70134f0dab603b
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Leegaardiellidae_B,Leegaardiella,0.9000000,7c6b9f893e146497dac07242c59540bd
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA,1.0000000,1bf0d33d6665965f4094d0379f8afad6
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,0.9090909,208528d78c2c97edfcfb2e18617141c0
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,1.0000000,be76f36157bc744591328c32786534c3
Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allapsidae_X,1.0000000,3df0120966bdda963bbd3b0138ed2f36
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,054b4d14d2823a9bc47460fd3bd297c1
Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Porosporidae,Porosporidae_X,1.0000000,7956ed9792ba5a43398e22caa4e4dd47
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA,1.0000000,342603f2424b37163e382a6d81fa787e
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,NA,NA,0.9000000,8fa776b69ec77add75c988e4d60ca491
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,5f8489f481eb5abc7230c60b0d0183c2
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.5454545,ca33cc8aefac37b370b655ccdca82f3e
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,9cf2a87311e8b5823c8461734899d519
Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Acanthoecida,Stephanoecidae_Group_E,Stephanoecidae_Group_E_X,1.0000000,5ba06e7c68455c6006cd0d58081d9905
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,0.8000000,88df722d4094686e697ec0c84dfe5041
Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea-Group-VI,Acantharea-Group-VI_X,NA,1.0000000,8d175525442a16907ca495e75d9ba03e
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,Dino-Group-II-Clade-4_X,0.7272727,cc233be88a4cb7e5faa7d265f50e74b9
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-I,Chrysophyceae_Clade-I_X,1.0000000,8e94059115eb87a3d751ddb64dd61026
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,0.8000000,149890d38638760417ebdaf92da13734
Eukaryota,Alveolata,Dinoflagellata,Noctilucophyceae,Noctilucales,Kofoidiniaceae,Kofoidinium,1.0000000,185d74dc98efdab41dcfee2f127b656e
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,1.0000000,f5777ea0dc0d54c6bff902ab275ea1a2
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA,1.0000000,04aa55da9552443dda50775e9c86b6bf
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,8f0721bd4ee366d47466e280ddc1397d
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-12,Dino-Group-II-Clade-12_X,0.9090909,3ee11d5c41c6fcc8baeaf0aa5a04e8cb
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,0.6363636,f281ef35c3f1d3be89fe7ad5cc836b4a
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,93f373989d5bde2dcb1dd55d7800b27a
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,0.7000000,c02ab01f9539bf1afa491e028e64a0e1
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,0.9000000,d56f736bd83662d059589f3199577464
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,45ed97b28b4e05eb226cf961c5afbb7a
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,6b2c7b333df483cbc020c5be39c1c225
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,0.9090909,01317afbfa0ba2973e68f693d314d35a
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.5454545,05aeca42f7fea440284f5dcbdbeed6dc
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.7272727,50f44a6721fd3203b4681e48f65a78c8
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,d85da8cb52a5ecddd691facf5a6cc2fc
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-5,Dino-Group-II-Clade-5_X,0.6000000,690d4384b32d51fd9103a35eb01cedf4
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-9,Dino-Group-II-Clade-9_X,0.9090909,ea0b3c73e50923bde2a129d1e2aae2b3
Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyta_XX,Chlorophyta_XXX,Chlorophyta_XXXX,1.0000000,8cbeb21b9d827855478bb6ff162106a6
Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B-Group-IV,RAD-B-Group-IV_X,0.9000000,ad15ea95f2485734d4c1d07d9999dda4
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Dino-Group-I-Clade-4_X,1.0000000,2a848afd5127338a633e58223c6bde3d
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-4,Dino-Group-II-Clade-4_X,0.6000000,c70914218fd7cf9ae7e80c09d7d23b08
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,70f11b77964632bbb4826d0407ad96d9
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,cb3fb07ba21bc4d09a57687ffb5e9e06
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,0.9090909,27342a373b2427656cc197159aae255b
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.8181818,3583ca394f6fdfb0f0445ce3f9a7bd57
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,b9f7c3614b96589170f21e64aa74efc6
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,1.0000000,257eaccb633455cc94450c4f1d4d9a0f
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-3,Dino-Group-II-Clade-3_X,1.0000000,779caf87f5d7447d5dc75e30a4c5aa18
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,7d40df66fdb87429b9dfef9f0069f14f
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,0.6666667,8ac7805f4e54ab186a682c5a8cbf7a8e
Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,0.9090909,9ec9b72e011f1aca917f3bc29b8ab187
Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Plagiacanthoidea,Lithomelissa,0.6000000,7011dd5be1dbce5695c1aeaadc5b9270
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,3de8208f64e69cec7a1e49ed128c31d6
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,0.9090909,3aad02ff2520aaeec971e310a123df6c
